PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,GENDER,n
26031,002,45,F,528
26031,002,45,M,455
26031,002,45,U,1
26032,013,45,F,1207
26032,013,45,M,891
26032,013,45,U,1
26033,013,45,F,1116
26033,013,45,M,728
26033,013,45,U,3
27001,003,45,F,1446
27001,003,45,M,1254
27001,003,45,U,3
27002,003,45,F,441
27002,003,45,M,366
27002,003,45,U,1
27003,003,45,F,505
27003,003,45,M,400
27004,003,45,F,369
27004,003,45,M,338
27005,003,45,F,1580
27005,003,45,M,1402
27005,003,45,U,4
27006,002,45,F,2078
27006,002,45,M,1661
27006,002,45,U,2
27007,002,45,F,924
27007,002,45,M,649
27008,002,45,F,1671
27008,002,45,M,1389
27008,002,45,U,5
27009,003,45,F,982
27009,003,45,M,913
27009,003,45,U,1
27010,002,45,F,496
27010,002,45,M,438
27011,003,45,F,1645
27011,003,45,M,1411
27011,003,45,U,2
27012,003,45,F,430
27012,003,45,M,373
27013,003,45,F,1911
27013,003,45,M,1586
27013,003,45,U,4
27014,003,45,F,1740
27014,003,45,M,1493
27014,003,45,U,2
27015,003,45,F,1403
27015,003,45,M,1076
27015,003,45,U,2
27016,003,45,F,499
27016,003,45,M,410
27016,003,45,U,3
27017,003,43A,F,1246
27017,003,43A,M,918
27017,003,43A,U,4
27018,003,45,F,1210
27018,003,45,M,995
27018,003,45,U,4
27019,004,45,F,841
27019,004,45,M,628
27019,004,45,U,1
27020,004,43A,F,1877
27020,004,43A,M,1159
27020,004,43A,U,1
27021,004,43A,F,1349
27021,004,43A,M,962
27021,004,43A,U,2
27022,003,43A,F,2118
27022,003,43A,M,1379
27023,003,43A,F,419
27023,003,43A,M,288
27023,003,43A,U,1
27024,003,43A,F,467
27024,003,43A,M,349
27025,003,43A,F,904
27025,003,43A,M,715
27025,003,43A,U,2
27026,003,43A,F,611
27026,003,43A,M,538
27027,004,43A,F,1200
27027,004,43A,M,902
27028,004,43A,F,913
27028,004,43A,M,676
27028,004,43A,U,2
27029,004,43A,F,626
27029,004,43A,M,501
27029,004,43A,U,1
27030,004,43A,F,1023
27030,004,43A,M,767
27030,004,43A,U,2
27031,004,43A,F,1507
27031,004,43A,M,1152
27031,004,43A,U,2
27032,004,43A,F,1746
27032,004,43A,M,1323
27032,004,43A,U,4
27033,004,43A,F,1605
27033,004,43A,M,1317
27033,004,43A,U,5
27034,004,43A,F,1287
27034,004,43A,M,1047
27034,004,43A,U,4
27035,004,43A,F,2063
27035,004,43A,M,1623
27035,004,43A,U,3
27036,004,43A,F,683
27036,004,43A,M,577
27036,004,43A,U,3
27037,004,43A,F,1460
27037,004,43A,M,1159
27037,004,43A,U,1
27038,004,43A,F,376
27038,004,43A,M,208
27038,004,43A,U,8
27039,004,43A,F,340
27039,004,43A,M,295
27040,004,41,F,1610
27040,004,41,M,1497
27040,004,41,U,1
27041,004,43A,F,890
27041,004,43A,M,732
27041,004,43A,U,2
27042,005,41,F,1212
27042,005,41,M,1174
27042,005,41,U,3
27043,006,41,F,813
27043,006,41,M,487
27044,006,41,F,862
27044,006,41,M,777
27044,006,41,U,2
27045,006,41,F,1395
27045,006,41,M,1138
27046,014,41,F,579
27046,014,41,M,476
27047,007,41,F,903
27047,007,41,M,778
27047,007,41,U,2
27048,006,41,F,858
27048,006,41,M,585
27048,006,41,U,2
27049,005,41,F,2517
27049,005,41,M,1882
27049,005,41,U,8
27050,005,41,F,899
27050,005,41,M,706
27050,005,41,U,3
27051,005,41,F,334
27051,005,41,M,257
27052,006,41,F,1881
27052,006,41,M,1521
27052,006,41,U,2
27053,006,40,F,1158
27053,006,40,M,972
27053,006,40,U,3
27054,006,40,F,638
27054,006,40,M,588
27055,006,41,F,297
27055,006,41,M,230
27056,006,41,F,738
27056,006,41,M,606
27056,006,41,U,3
27057,005,41,F,1509
27057,005,41,M,1225
27057,005,41,U,9
27058,006,41,F,477
27058,006,41,M,399
27058,006,41,U,1
27059,005,41,F,565
27059,005,41,M,542
27059,005,41,U,2
27060,005,41,F,1088
27060,005,41,M,899
27060,005,41,U,5
27061,005,41,F,554
27061,005,41,M,431
27062,005,41,F,1575
27062,005,41,M,1218
27062,005,41,U,7
27063,005,41,F,1483
27063,005,41,M,1201
27063,005,41,U,5
27064,005,41,F,1259
27064,005,41,M,1124
27064,005,41,U,8
27065,005,41,F,2590
27065,005,41,M,1933
27065,005,41,U,5
27066,005,41,F,1810
27066,005,41,M,1446
27066,005,41,U,15
27067,005,41,F,1587
27067,005,41,M,1218
27067,005,41,U,6
27069,014,41,F,88
27069,014,41,M,86
28001,005,41,F,880
28001,005,41,M,787
28001,005,41,U,2
28002,005,41,F,1696
28002,005,41,M,1237
28002,005,41,U,3
28003,006,41,F,319
28003,006,41,M,290
28003,006,41,U,1
28004,005,41,F,502
28004,005,41,M,418
28005,005,41,F,1201
28005,005,41,M,893
28005,005,41,U,2
28006,008,41,F,1751
28006,008,41,M,1437
28006,008,41,U,4
28007,008,41,F,796
28007,008,41,M,730
28007,008,41,U,1
28008,008,41,F,1042
28008,008,41,M,865
28009,008,41,F,1535
28009,008,41,M,1108
28009,008,41,U,3
28010,008,41,F,1407
28010,008,41,M,1082
28010,008,41,U,2
28011,008,41,F,1405
28011,008,41,M,1138
28011,008,41,U,1
28012,008,41,F,1021
28012,008,41,M,793
28012,008,41,U,1
28013,008,41,F,1246
28013,008,41,M,847
28013,008,41,U,2
28014,008,41,F,343
28014,008,41,M,313
28014,008,41,U,2
28015,008,41,F,1386
28015,008,41,M,1115
