County,County Name,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,43A,Attorney General,Michael Anthony Peroutka,REP,NA,NA,174,NA,807,NA,271,NA,73,NA,79,NA,1404,0,1404
03,Baltimore City,43A,Attorney General,Anthony G. Brown,DEM,Y,NA,3949,NA,9495,NA,5766,NA,1128,NA,2258,NA,22596,0,22596
03,Baltimore City,43A,Attorney General,Other Write-Ins,NA,NA,Y,5,NA,28,NA,14,NA,4,NA,5,NA,56,0,56
03,Baltimore City,43A,U.S. Senator,Chris Chaffee,REP,NA,NA,173,NA,794,NA,240,NA,75,NA,67,NA,1349,0,1349
03,Baltimore City,43A,U.S. Senator,Chris Van Hollen,DEM,Y,NA,3953,NA,9540,NA,5828,NA,1127,NA,2270,NA,22718,0,22718
03,Baltimore City,43A,U.S. Senator,Scottie Griffin,DEM,NA,Y,0,NA,3,NA,1,NA,1,NA,2,NA,7,0,7
03,Baltimore City,43A,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,43A,U.S. Senator,Other Write-Ins,NA,NA,Y,5,NA,30,NA,8,NA,5,NA,5,NA,53,0,53
03,Baltimore City,43A,U.S. Congress,Scott M. Collier,REP,NA,NA,158,NA,734,NA,250,NA,70,NA,75,NA,1287,0,1287
03,Baltimore City,43A,U.S. Congress,Kweisi Mfume,DEM,Y,NA,3851,NA,9117,NA,5531,NA,1063,NA,2117,NA,21679,0,21679
03,Baltimore City,43A,U.S. Congress,Other Write-Ins,NA,NA,Y,8,NA,29,NA,6,NA,4,NA,6,NA,53,0,53
03,Baltimore City,43A,State Senator,Mary Washington,DEM,Y,NA,3885,NA,9405,NA,5715,NA,984,NA,2227,NA,22216,0,22216
03,Baltimore City,43A,State Senator,Bob Gemmill,LIB,NA,NA,168,NA,721,NA,245,NA,54,NA,77,NA,1265,0,1265
03,Baltimore City,43A,State Senator,Other Write-Ins,NA,NA,Y,3,NA,37,NA,12,NA,5,NA,1,NA,58,0,58
03,Baltimore City,43A,House of Delegates,Gwendolyn O. Butler,REP,NA,NA,219,NA,864,NA,290,NA,57,NA,79,NA,1509,0,1509
03,Baltimore City,43A,House of Delegates,Regina T. Boyce,DEM,Y,NA,3524,NA,8245,NA,5150,NA,845,NA,2024,NA,19788,0,19788
03,Baltimore City,43A,House of Delegates,Elizabeth Embry,DEM,Y,NA,3333,NA,7465,NA,5094,NA,714,NA,1963,NA,18569,0,18569
03,Baltimore City,43A,House of Delegates,Renaud Deaundre Brown,GRN,NA,NA,214,NA,933,NA,297,NA,84,NA,163,NA,1691,0,1691
03,Baltimore City,43A,House of Delegates,Other Write-Ins,NA,NA,Y,13,NA,36,NA,26,NA,6,NA,5,NA,86,0,86
03,Baltimore City,43A,Judge Circuit Court,Erik Atas,JUD,Y,NA,2349,NA,5229,NA,3357,NA,495,NA,1170,NA,12600,0,12600
03,Baltimore City,43A,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,2344,NA,5139,NA,3346,NA,515,NA,1164,NA,12508,0,12508
03,Baltimore City,43A,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,2915,NA,6564,NA,3897,NA,699,NA,1399,NA,15474,0,15474
03,Baltimore City,43A,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,2741,NA,5915,NA,3718,NA,607,NA,1283,NA,14264,0,14264
03,Baltimore City,43A,Judge Circuit Court,Other Write-Ins,NA,NA,Y,36,NA,170,NA,93,NA,24,NA,23,NA,346,0,346
03,Baltimore City,43A,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,2923,578,6314,1898,4208,599,673,213,1322,237,15440,3525,18965
03,Baltimore City,43A,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,2816,602,6255,1804,3927,742,671,193,1207,303,14876,3644,18520
03,Baltimore City,43A,State's Attorney,Ivan Bates,DEM,Y,NA,3865,NA,9455,NA,5681,NA,1030,NA,2111,NA,22142,0,22142
03,Baltimore City,43A,State's Attorney,Other Write-Ins,NA,NA,Y,71,NA,178,NA,84,NA,23,NA,33,NA,389,0,389
03,Baltimore City,43A,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,3629,NA,8567,NA,4946,NA,992,NA,1768,NA,19902,0,19902
03,Baltimore City,43A,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,50,NA,149,NA,81,NA,13,NA,46,NA,339,0,339
03,Baltimore City,43A,Register of Wills,Belinda K. Conaway,DEM,Y,NA,3703,NA,8660,NA,5109,NA,1003,NA,1825,NA,20300,0,20300
03,Baltimore City,43A,Register of Wills,Other Write-Ins,NA,NA,Y,28,NA,121,NA,44,NA,10,NA,17,NA,220,0,220
03,Baltimore City,43A,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,3077,NA,6942,NA,4405,NA,751,NA,1510,NA,16685,0,16685
03,Baltimore City,43A,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,3081,NA,6848,NA,4325,NA,732,NA,1546,NA,16532,0,16532
03,Baltimore City,43A,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,3079,NA,6976,NA,4394,NA,762,NA,1569,NA,16780,0,16780
03,Baltimore City,43A,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,22,NA,104,NA,37,NA,9,NA,12,NA,184,0,184
03,Baltimore City,43A,Sheriff,Sam Cogen,DEM,Y,NA,3637,NA,8645,NA,5163,NA,974,NA,1891,NA,20310,0,20310
03,Baltimore City,43A,Sheriff,Other Write-Ins,NA,NA,Y,27,NA,86,NA,37,NA,13,NA,15,NA,178,0,178
03,Baltimore City,43A,Board of Ed at Large,April Christina Curley,NON,NA,NA,1416,NA,2658,NA,2174,NA,306,NA,696,NA,7250,0,7250
03,Baltimore City,43A,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,1732,NA,4707,NA,2373,NA,450,NA,1052,NA,10314,0,10314
03,Baltimore City,43A,Board of Ed at Large,Salimah Jasani,NON,NA,NA,1197,NA,3871,NA,1557,NA,362,NA,938,NA,7925,0,7925
03,Baltimore City,43A,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,1989,NA,3860,NA,2306,NA,449,NA,674,NA,9278,0,9278
03,Baltimore City,43A,Board of Ed at Large,Other Write-Ins,NA,NA,Y,25,NA,74,NA,26,NA,8,NA,3,NA,136,0,136
03,Baltimore City,41,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,546,NA,1891,NA,600,NA,106,NA,198,NA,3341,0,3341
03,Baltimore City,41,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,6051,NA,12195,NA,7910,NA,1356,NA,2682,NA,30194,0,30194
03,Baltimore City,41,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,35,NA,163,NA,57,NA,8,NA,25,NA,288,0,288
03,Baltimore City,41,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,44,NA,138,NA,52,NA,17,NA,23,NA,274,0,274
03,Baltimore City,41,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,64,NA,153,NA,39,NA,22,NA,20,NA,298,0,298
03,Baltimore City,41,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,5,NA,0,NA,0,NA,1,NA,6,0,6
03,Baltimore City,41,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,3,NA,29,NA,16,NA,1,NA,8,NA,57,0,57
03,Baltimore City,41,Comptroller,Barry Glassman,REP,NA,NA,751,NA,2600,NA,969,NA,160,NA,314,NA,4794,0,4794
03,Baltimore City,41,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,5928,NA,11820,NA,7740,NA,1334,NA,2630,NA,29452,0,29452
03,Baltimore City,41,Comptroller,Other Write-Ins,NA,NA,Y,8,NA,29,NA,10,NA,3,NA,3,NA,53,0,53
03,Baltimore City,41,Attorney General,Michael Anthony Peroutka,REP,NA,NA,547,NA,2095,NA,717,NA,117,NA,213,NA,3689,0,3689
03,Baltimore City,41,Attorney General,Anthony G. Brown,DEM,Y,NA,6154,NA,12314,NA,7991,NA,1389,NA,2731,NA,30579,0,30579
03,Baltimore City,41,Attorney General,Other Write-Ins,NA,NA,Y,11,NA,34,NA,16,NA,4,NA,7,NA,72,0,72
03,Baltimore City,41,U.S. Senator,Chris Chaffee,REP,NA,NA,542,NA,2070,NA,625,NA,115,NA,223,NA,3575,0,3575
03,Baltimore City,41,U.S. Senator,Chris Van Hollen,DEM,Y,NA,6144,NA,12366,NA,8155,NA,1391,NA,2736,NA,30792,0,30792
03,Baltimore City,41,U.S. Senator,Scottie Griffin,DEM,NA,Y,1,NA,3,NA,0,NA,0,NA,0,NA,4,0,4
03,Baltimore City,41,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,1
03,Baltimore City,41,U.S. Senator,Other Write-Ins,NA,NA,Y,7,NA,29,NA,7,NA,4,NA,4,NA,51,0,51
03,Baltimore City,41,U.S. Congress,Nicolee Ambrose,REP,NA,NA,82,NA,712,NA,195,NA,20,NA,58,NA,1067,0,1067
03,Baltimore City,41,U.S. Congress,C.A. Dutch Ruppersberger,DEM,Y,NA,743,NA,3042,NA,2361,NA,243,NA,923,NA,7312,0,7312
03,Baltimore City,41,U.S. Congress,Other Write-Ins,NA,NA,Y,18,NA,37,NA,17,NA,2,NA,4,NA,78,0,78
03,Baltimore City,41,State Senator,Jill P. Carter,DEM,Y,NA,6048,NA,12266,NA,7813,NA,1178,NA,2577,NA,29882,0,29882
03,Baltimore City,41,State Senator,Other Write-Ins,NA,NA,Y,108,NA,310,NA,74,NA,24,NA,31,NA,547,0,547
03,Baltimore City,41,House of Delegates,Scott Graham,REP,NA,NA,681,NA,2397,NA,770,NA,137,NA,255,NA,4240,0,4240
03,Baltimore City,41,House of Delegates,Dalya Attar,DEM,Y,NA,5491,NA,10579,NA,7009,NA,975,NA,2384,NA,26438,0,26438
03,Baltimore City,41,House of Delegates,Tony Bridges,DEM,Y,NA,5186,NA,9652,NA,6826,NA,893,NA,2225,NA,24782,0,24782
03,Baltimore City,41,House of Delegates,"S. I. ""Sandy"" Rosenberg",DEM,Y,NA,5244,NA,9799,NA,7210,NA,859,NA,2445,NA,25557,0,25557
03,Baltimore City,41,House of Delegates,Other Write-Ins,NA,NA,Y,58,NA,136,NA,46,NA,12,NA,20,NA,272,0,272
03,Baltimore City,41,Judge Circuit Court,Erik Atas,JUD,Y,NA,3922,NA,7279,NA,4714,NA,608,NA,1565,NA,18088,0,18088
03,Baltimore City,41,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,3872,NA,7138,NA,4671,NA,607,NA,1541,NA,17829,0,17829
03,Baltimore City,41,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,4694,NA,9002,NA,5496,NA,837,NA,1822,NA,21851,0,21851
03,Baltimore City,41,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,4505,NA,8371,NA,5340,NA,769,NA,1695,NA,20680,0,20680
03,Baltimore City,41,Judge Circuit Court,Other Write-Ins,NA,NA,Y,73,NA,315,NA,76,NA,20,NA,41,NA,525,0,525
03,Baltimore City,41,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,4821,931,9351,2470,6203,717,884,280,1901,253,23160,4651,27811
03,Baltimore City,41,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,4595,952,9025,2474,5687,898,858,266,1747,326,21912,4916,26828
03,Baltimore City,41,State's Attorney,Ivan Bates,DEM,Y,NA,6230,NA,12893,NA,8103,NA,1306,NA,2669,NA,31201,0,31201
03,Baltimore City,41,State's Attorney,Other Write-Ins,NA,NA,Y,105,NA,286,NA,102,NA,30,NA,37,NA,560,0,560
03,Baltimore City,41,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,5728,NA,11601,NA,7019,NA,1233,NA,2235,NA,27816,0,27816
03,Baltimore City,41,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,76,NA,251,NA,93,NA,13,NA,56,NA,489,0,489
03,Baltimore City,41,Register of Wills,Belinda K. Conaway,DEM,Y,NA,5832,NA,11776,NA,7224,NA,1238,NA,2309,NA,28379,0,28379
03,Baltimore City,41,Register of Wills,Other Write-Ins,NA,NA,Y,65,NA,210,NA,51,NA,9,NA,34,NA,369,0,369
03,Baltimore City,41,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,5016,NA,9651,NA,6310,NA,946,NA,2029,NA,23952,0,23952
03,Baltimore City,41,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,4964,NA,9425,NA,6108,NA,925,NA,2051,NA,23473,0,23473
03,Baltimore City,41,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,5102,NA,9996,NA,6473,NA,942,NA,2160,NA,24673,0,24673
03,Baltimore City,41,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,27,NA,207,NA,32,NA,5,NA,24,NA,295,0,295
03,Baltimore City,41,Sheriff,Sam Cogen,DEM,Y,NA,5855,NA,11977,NA,7369,NA,1223,NA,2446,NA,28870,0,28870
03,Baltimore City,41,Sheriff,Other Write-Ins,NA,NA,Y,38,NA,155,NA,37,NA,13,NA,17,NA,260,0,260
03,Baltimore City,41,Board of Ed at Large,April Christina Curley,NON,NA,NA,2244,NA,4332,NA,3104,NA,423,NA,886,NA,10989,0,10989
03,Baltimore City,41,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,2636,NA,5496,NA,3083,NA,510,NA,1076,NA,12801,0,12801
03,Baltimore City,41,Board of Ed at Large,Salimah Jasani,NON,NA,NA,1775,NA,3858,NA,1883,NA,321,NA,887,NA,8724,0,8724
03,Baltimore City,41,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,3109,NA,5543,NA,3189,NA,583,NA,922,NA,13346,0,13346
03,Baltimore City,41,Board of Ed at Large,Other Write-Ins,NA,NA,Y,50,NA,160,NA,48,NA,10,NA,20,NA,288,0,288
03,Baltimore City,40,U.S. Congress,Nicolee Ambrose,REP,NA,NA,12,NA,261,NA,62,NA,8,NA,22,NA,365,0,365
03,Baltimore City,40,U.S. Congress,C.A. Dutch Ruppersberger,DEM,Y,NA,197,NA,1392,NA,658,NA,104,NA,463,NA,2814,0,2814
03,Baltimore City,41,U.S. Congress,Scott M. Collier,REP,NA,NA,476,NA,1432,NA,460,NA,107,NA,180,NA,2655,0,2655
03,Baltimore City,41,U.S. Congress,Kweisi Mfume,DEM,Y,NA,5407,NA,9236,NA,5741,NA,1108,NA,1775,NA,23267,0,23267
03,Baltimore City,43A,U.S. Congress,Nicolee Ambrose,REP,NA,NA,12,NA,77,NA,29,NA,1,NA,2,NA,121,0,121
03,Baltimore City,43A,U.S. Congress,C.A. Dutch Ruppersberger,DEM,Y,NA,115,NA,394,NA,262,NA,33,NA,130,NA,934,0,934
