County,County Name,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,46,Register of Wills,Belinda K. Conaway,DEM,Y,NA,2403,NA,12400,NA,4323,NA,1611,NA,2582,NA,23319,0,23319
03,Baltimore City,46,Register of Wills,Other Write-Ins,NA,NA,Y,43,NA,226,NA,45,NA,25,NA,37,NA,376,0,376
03,Baltimore City,46,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,2111,NA,10369,NA,3726,NA,1254,NA,2250,NA,19710,0,19710
03,Baltimore City,46,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,2054,NA,9971,NA,3636,NA,1203,NA,2247,NA,19111,0,19111
03,Baltimore City,46,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,2152,NA,10540,NA,3814,NA,1322,NA,2329,NA,20157,0,20157
03,Baltimore City,46,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,36,NA,213,NA,23,NA,15,NA,9,NA,296,0,296
03,Baltimore City,46,Sheriff,Sam Cogen,DEM,Y,NA,2600,NA,12766,NA,4587,NA,1589,NA,2769,NA,24311,0,24311
03,Baltimore City,46,Sheriff,Other Write-Ins,NA,NA,Y,16,NA,184,NA,29,NA,16,NA,19,NA,264,0,264
03,Baltimore City,46,Board of Ed at Large,April Christina Curley,NON,NA,NA,944,NA,4207,NA,1822,NA,456,NA,1010,NA,8439,0,8439
03,Baltimore City,46,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,1416,NA,7037,NA,2447,NA,741,NA,1474,NA,13115,0,13115
03,Baltimore City,46,Board of Ed at Large,Salimah Jasani,NON,NA,NA,934,NA,5071,NA,1766,NA,560,NA,1310,NA,9641,0,9641
03,Baltimore City,46,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,885,NA,4159,NA,1197,NA,527,NA,624,NA,7392,0,7392
03,Baltimore City,46,Board of Ed at Large,Other Write-Ins,NA,NA,Y,27,NA,168,NA,21,NA,13,NA,17,NA,246,0,246
03,Baltimore City,40,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,109,NA,1094,NA,269,NA,93,NA,55,NA,1620,0,1620
03,Baltimore City,40,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,3220,NA,11976,NA,5437,NA,1495,NA,2360,NA,24488,0,24488
03,Baltimore City,40,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,18,NA,133,NA,44,NA,18,NA,21,NA,234,0,234
03,Baltimore City,40,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,35,NA,188,NA,46,NA,33,NA,35,NA,337,0,337
03,Baltimore City,40,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,50,NA,217,NA,57,NA,43,NA,25,NA,392,0,392
03,Baltimore City,40,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,1
03,Baltimore City,40,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,6,NA,19,NA,10,NA,3,NA,6,NA,44,0,44
03,Baltimore City,40,Comptroller,Barry Glassman,REP,NA,NA,233,NA,1655,NA,442,NA,160,NA,148,NA,2638,0,2638
03,Baltimore City,40,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,3171,NA,11816,NA,5404,NA,1536,NA,2338,NA,24265,0,24265
03,Baltimore City,40,Comptroller,Other Write-Ins,NA,NA,Y,8,NA,36,NA,19,NA,4,NA,4,NA,71,0,71
03,Baltimore City,40,Attorney General,Michael Anthony Peroutka,REP,NA,NA,144,NA,1268,NA,328,NA,115,NA,88,NA,1943,0,1943
03,Baltimore City,40,Attorney General,Anthony G. Brown,DEM,Y,NA,3263,NA,12212,NA,5567,NA,1574,NA,2398,NA,25014,0,25014
03,Baltimore City,40,Attorney General,Other Write-Ins,NA,NA,Y,11,NA,29,NA,12,NA,5,NA,4,NA,61,0,61
03,Baltimore City,40,U.S. Senator,Chris Chaffee,REP,NA,NA,128,NA,1218,NA,276,NA,124,NA,75,NA,1821,0,1821
03,Baltimore City,40,U.S. Senator,Chris Van Hollen,DEM,Y,NA,3288,NA,12238,NA,5592,NA,1571,NA,2411,NA,25100,0,25100
03,Baltimore City,40,U.S. Senator,Scottie Griffin,DEM,NA,Y,1,NA,3,NA,0,NA,0,NA,0,NA,4,0,4
03,Baltimore City,40,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,0,NA,1,NA,1,NA,0,NA,0,NA,2,0,2
03,Baltimore City,40,U.S. Senator,Other Write-Ins,NA,NA,Y,2,NA,34,NA,9,NA,4,NA,2,NA,51,0,51
03,Baltimore City,40,U.S. Congress,Scott M. Collier,REP,NA,NA,127,NA,1086,NA,255,NA,110,NA,70,NA,1648,0,1648
03,Baltimore City,40,U.S. Congress,Kweisi Mfume,DEM,Y,NA,3077,NA,10712,NA,4922,NA,1396,NA,1909,NA,22016,0,22016
03,Baltimore City,40,U.S. Congress,Other Write-Ins,NA,NA,Y,12,NA,45,NA,13,NA,4,NA,8,NA,82,0,82
03,Baltimore City,40,State Senator,Christopher Anderson,REP,NA,NA,157,NA,1362,NA,355,NA,78,NA,106,NA,2058,0,2058
03,Baltimore City,40,State Senator,Antonio Hayes,DEM,Y,NA,3215,NA,12036,NA,5446,NA,1212,NA,2327,NA,24236,0,24236
03,Baltimore City,40,State Senator,Other Write-Ins,NA,NA,Y,7,NA,33,NA,18,NA,3,NA,5,NA,66,0,66
03,Baltimore City,40,House of Delegates,Zulieka A. Baysmore,REP,NA,NA,302,NA,1807,NA,445,NA,113,NA,185,NA,2852,0,2852
03,Baltimore City,40,House of Delegates,Marlon D. Amprey,DEM,Y,NA,2633,NA,9680,NA,4514,NA,894,NA,2057,NA,19778,0,19778
03,Baltimore City,40,House of Delegates,"Frank M. Conaway, Jr.",DEM,Y,NA,2749,NA,9844,NA,4625,NA,931,NA,1903,NA,20052,0,20052
03,Baltimore City,40,House of Delegates,Melissa Wells,DEM,Y,NA,2782,NA,10247,NA,4728,NA,969,NA,2146,NA,20872,0,20872
03,Baltimore City,40,House of Delegates,Other Write-Ins,NA,NA,Y,48,NA,167,NA,81,NA,9,NA,23,NA,328,0,328
03,Baltimore City,40,Judge Circuit Court,Erik Atas,JUD,Y,NA,1949,NA,6557,NA,3069,NA,600,NA,1297,NA,13472,0,13472
