Election,Candidate,Party,Precinct,Votes
Governor,Lashar-Logansmith,LIB,027-034,3
Governor,Lashar-Logansmith,LIB,027-035,6
Governor,Lashar-Logansmith,LIB,027-036,1
Governor,Lashar-Logansmith,LIB,027-037,6
Governor,Lashar-Logansmith,LIB,027-038,1
Governor,Lashar-Logansmith,LIB,027-039,1
Governor,Lashar-Logansmith,LIB,027-040,16
Governor,Lashar-Logansmith,LIB,027-041,8
Governor,Lashar-Logansmith,LIB,027-042,22
Governor,Lashar-Logansmith,LIB,027-043,5
Governor,Lashar-Logansmith,LIB,027-044,13
Governor,Lashar-Logansmith,LIB,027-045,17
Governor,Lashar-Logansmith,LIB,027-046,5
Governor,Lashar-Logansmith,LIB,027-047,7
Governor,Lashar-Logansmith,LIB,027-048,7
Governor,Lashar-Logansmith,LIB,027-049,20
Governor,Lashar-Logansmith,LIB,027-050,8
Governor,Lashar-Logansmith,LIB,027-051,1
Governor,Lashar-Logansmith,LIB,027-052,1
Governor,Lashar-Logansmith,LIB,027-053,2
Governor,Lashar-Logansmith,LIB,027-054,0
Governor,Lashar-Logansmith,LIB,027-055,2
Governor,Lashar-Logansmith,LIB,027-056,1
Governor,Lashar-Logansmith,LIB,027-057,1
Governor,Lashar-Logansmith,LIB,027-058,3
Governor,Lashar-Logansmith,LIB,027-059,1
Governor,Lashar-Logansmith,LIB,027-060,3
Governor,Lashar-Logansmith,LIB,027-061,4
Governor,Lashar-Logansmith,LIB,027-062,5
Governor,Lashar-Logansmith,LIB,027-063,12
Governor,Lashar-Logansmith,LIB,027-064,12
Governor,Lashar-Logansmith,LIB,027-065,11
Governor,Lashar-Logansmith,LIB,027-066,12
Governor,Lashar-Logansmith,LIB,027-067,1
Governor,Lashar-Logansmith,LIB,027-069,1
Governor,Lashar-Logansmith,LIB,028-001,4
Governor,Lashar-Logansmith,LIB,028-002,4
Governor,Lashar-Logansmith,LIB,028-003,0
Governor,Lashar-Logansmith,LIB,028-004,1
Governor,Lashar-Logansmith,LIB,028-005,3
Governor,Lashar-Logansmith,LIB,028-006,1
Governor,Lashar-Logansmith,LIB,028-007,4
Governor,Lashar-Logansmith,LIB,028-008,1
Governor,Lashar-Logansmith,LIB,028-009,6
Governor,Lashar-Logansmith,LIB,028-010,2
Governor,Lashar-Logansmith,LIB,028-011,4
Governor,Lashar-Logansmith,LIB,028-012,4
Governor,Lashar-Logansmith,LIB,028-013,2
Governor,Lashar-Logansmith,LIB,028-014,1
Governor,Lashar-Logansmith,LIB,028-015,9
Governor,Wallace-Elder,GRN,001-001,10
Governor,Wallace-Elder,GRN,001-002,4
Governor,Wallace-Elder,GRN,001-003,6
Governor,Wallace-Elder,GRN,001-004,10
Governor,Wallace-Elder,GRN,001-005,7
Governor,Wallace-Elder,GRN,002-001,5
Governor,Wallace-Elder,GRN,002-002,7
Governor,Wallace-Elder,GRN,002-003,14
Governor,Wallace-Elder,GRN,003-001,4
Governor,Wallace-Elder,GRN,003-002,3
Governor,Wallace-Elder,GRN,003-003,6
Governor,Wallace-Elder,GRN,004-001,11
Governor,Wallace-Elder,GRN,004-002,10
Governor,Wallace-Elder,GRN,004-003,1
Governor,Wallace-Elder,GRN,005-001,2
Governor,Wallace-Elder,GRN,005-002,0
Governor,Wallace-Elder,GRN,006-001,0
Governor,Wallace-Elder,GRN,006-002,8
Governor,Wallace-Elder,GRN,006-003,2
Governor,Wallace-Elder,GRN,006-004,9
Governor,Wallace-Elder,GRN,006-005,6
Governor,Wallace-Elder,GRN,007-001,2
Governor,Wallace-Elder,GRN,007-002,2
Governor,Wallace-Elder,GRN,007-003,7
Governor,Wallace-Elder,GRN,007-004,5
Governor,Wallace-Elder,GRN,008-001,0
Governor,Wallace-Elder,GRN,008-002,7
Governor,Wallace-Elder,GRN,008-003,8
Governor,Wallace-Elder,GRN,008-004,3
Governor,Wallace-Elder,GRN,008-005,2
Governor,Wallace-Elder,GRN,008-006,4
Governor,Wallace-Elder,GRN,008-007,2
Governor,Wallace-Elder,GRN,008-008,8
Governor,Wallace-Elder,GRN,008-009,1
Governor,Wallace-Elder,GRN,008-010,2
Governor,Wallace-Elder,GRN,008-011,0
Governor,Wallace-Elder,GRN,009-001,2
Governor,Wallace-Elder,GRN,009-002,8
Governor,Wallace-Elder,GRN,009-003,5
Governor,Wallace-Elder,GRN,009-004,7
Governor,Wallace-Elder,GRN,009-005,6
Governor,Wallace-Elder,GRN,009-006,10
Governor,Wallace-Elder,GRN,009-007,1
Governor,Wallace-Elder,GRN,009-008,3
Governor,Wallace-Elder,GRN,009-009,4
Governor,Wallace-Elder,GRN,009-010,10
Governor,Wallace-Elder,GRN,009-011,2
Governor,Wallace-Elder,GRN,009-012,0
Governor,Wallace-Elder,GRN,009-013,4
Governor,Wallace-Elder,GRN,009-014,4
Governor,Wallace-Elder,GRN,009-015,3
Governor,Wallace-Elder,GRN,010-001,1
Governor,Wallace-Elder,GRN,010-002,6
Governor,Wallace-Elder,GRN,010-003,3
Governor,Wallace-Elder,GRN,010-004,1
Governor,Wallace-Elder,GRN,011-001,18
Governor,Wallace-Elder,GRN,011-002,2
Governor,Wallace-Elder,GRN,011-003,5
Governor,Wallace-Elder,GRN,011-004,0
Governor,Wallace-Elder,GRN,011-005,13
Governor,Wallace-Elder,GRN,011-006,5
Governor,Wallace-Elder,GRN,011-007,14
Governor,Wallace-Elder,GRN,011-008,0
Governor,Wallace-Elder,GRN,012-001,13
Governor,Wallace-Elder,GRN,012-002,1
Governor,Wallace-Elder,GRN,012-003,12
Governor,Wallace-Elder,GRN,012-004,6
Governor,Wallace-Elder,GRN,012-005,9
Governor,Wallace-Elder,GRN,012-006,12
Governor,Wallace-Elder,GRN,012-007,14
Governor,Wallace-Elder,GRN,012-008,26
Governor,Wallace-Elder,GRN,012-009,2
Governor,Wallace-Elder,GRN,012-010,7
Governor,Wallace-Elder,GRN,012-011,2
Governor,Wallace-Elder,GRN,012-012,10
Governor,Wallace-Elder,GRN,013-001,9
Governor,Wallace-Elder,GRN,013-002,8
Governor,Wallace-Elder,GRN,013-003,8
Governor,Wallace-Elder,GRN,013-004,24
Governor,Wallace-Elder,GRN,013-005,17
Governor,Wallace-Elder,GRN,013-006,1
Governor,Wallace-Elder,GRN,013-007,1
Governor,Wallace-Elder,GRN,013-008,10
Governor,Wallace-Elder,GRN,013-009,9
Governor,Wallace-Elder,GRN,013-010,6
Governor,Wallace-Elder,GRN,013-011,20
Governor,Wallace-Elder,GRN,013-012,11
Governor,Wallace-Elder,GRN,014-001,6
Governor,Wallace-Elder,GRN,014-002,5
Governor,Wallace-Elder,GRN,014-003,3
Governor,Wallace-Elder,GRN,014-004,10
Governor,Wallace-Elder,GRN,014-005,2
Governor,Wallace-Elder,GRN,015-001,7
Governor,Wallace-Elder,GRN,015-002,4
Governor,Wallace-Elder,GRN,015-003,5
Governor,Wallace-Elder,GRN,015-004,2
Governor,Wallace-Elder,GRN,015-005,5
Governor,Wallace-Elder,GRN,015-006,2
Governor,Wallace-Elder,GRN,015-007,3
Governor,Wallace-Elder,GRN,015-008,3
Governor,Wallace-Elder,GRN,015-009,7
Governor,Wallace-Elder,GRN,015-010,2
Governor,Wallace-Elder,GRN,015-011,2
Governor,Wallace-Elder,GRN,015-012,3
Governor,Wallace-Elder,GRN,015-013,0
Governor,Wallace-Elder,GRN,015-014,3
Governor,Wallace-Elder,GRN,015-015,3
Governor,Wallace-Elder,GRN,015-016,0
Governor,Wallace-Elder,GRN,015-017,1
Governor,Wallace-Elder,GRN,015-018,2
Governor,Wallace-Elder,GRN,015-019,2
Governor,Wallace-Elder,GRN,015-020,1
Governor,Wallace-Elder,GRN,015-021,1
Governor,Wallace-Elder,GRN,015-022,1
Governor,Wallace-Elder,GRN,015-023,1
Governor,Wallace-Elder,GRN,015-024,4
Governor,Wallace-Elder,GRN,015-025,3
Governor,Wallace-Elder,GRN,016-001,3
Governor,Wallace-Elder,GRN,016-002,2
Governor,Wallace-Elder,GRN,016-003,2
Governor,Wallace-Elder,GRN,016-004,3
Governor,Wallace-Elder,GRN,016-005,5
Governor,Wallace-Elder,GRN,016-006,3
Governor,Wallace-Elder,GRN,016-007,3
Governor,Wallace-Elder,GRN,016-008,1
Governor,Wallace-Elder,GRN,016-009,2
Governor,Wallace-Elder,GRN,016-010,0
Governor,Wallace-Elder,GRN,016-011,0
Governor,Wallace-Elder,GRN,016-012,3
Governor,Wallace-Elder,GRN,016-013,7
Governor,Wallace-Elder,GRN,016-014,11
Governor,Wallace-Elder,GRN,017-001,0
Governor,Wallace-Elder,GRN,017-002,16
Governor,Wallace-Elder,GRN,018-001,5
Governor,Wallace-Elder,GRN,018-002,6
Governor,Wallace-Elder,GRN,019-001,2
Governor,Wallace-Elder,GRN,019-002,3
Governor,Wallace-Elder,GRN,019-003,1
Governor,Wallace-Elder,GRN,020-001,1
Governor,Wallace-Elder,GRN,020-002,1
Governor,Wallace-Elder,GRN,020-003,6
Governor,Wallace-Elder,GRN,020-004,0
Governor,Wallace-Elder,GRN,020-005,5
Governor,Wallace-Elder,GRN,020-006,7
Governor,Wallace-Elder,GRN,020-007,7
Governor,Wallace-Elder,GRN,020-008,0
Governor,Wallace-Elder,GRN,020-009,1
Governor,Wallace-Elder,GRN,020-010,0
Governor,Wallace-Elder,GRN,020-011,1
Governor,Wallace-Elder,GRN,021-001,2
Governor,Wallace-Elder,GRN,021-002,9
Governor,Wallace-Elder,GRN,021-003,9
Governor,Wallace-Elder,GRN,021-004,2
Governor,Wallace-Elder,GRN,022-001,8
Governor,Wallace-Elder,GRN,022-002,5
Governor,Wallace-Elder,GRN,023-001,5
Governor,Wallace-Elder,GRN,023-002,2
Governor,Wallace-Elder,GRN,023-003,10
Governor,Wallace-Elder,GRN,024-001,2
Governor,Wallace-Elder,GRN,024-002,3
Governor,Wallace-Elder,GRN,024-003,5
Governor,Wallace-Elder,GRN,024-004,8
Governor,Wallace-Elder,GRN,024-005,17
Governor,Wallace-Elder,GRN,025-001,5
Governor,Wallace-Elder,GRN,025-002,9
Governor,Wallace-Elder,GRN,025-003,4
Governor,Wallace-Elder,GRN,025-004,8
Governor,Wallace-Elder,GRN,025-005,4
Governor,Wallace-Elder,GRN,025-006,3
Governor,Wallace-Elder,GRN,025-007,0
Governor,Wallace-Elder,GRN,025-008,2
Governor,Wallace-Elder,GRN,025-009,4
Governor,Wallace-Elder,GRN,025-010,3
Governor,Wallace-Elder,GRN,025-011,1
Governor,Wallace-Elder,GRN,025-012,4
Governor,Wallace-Elder,GRN,025-013,1
Governor,Wallace-Elder,GRN,025-014,8
Governor,Wallace-Elder,GRN,025-015,1
Governor,Wallace-Elder,GRN,025-016,1
Governor,Wallace-Elder,GRN,025-017,10
Governor,Wallace-Elder,GRN,026-001,1
Governor,Wallace-Elder,GRN,026-002,4
Governor,Wallace-Elder,GRN,026-003,5
Governor,Wallace-Elder,GRN,026-004,1
Governor,Wallace-Elder,GRN,026-005,2
Governor,Wallace-Elder,GRN,026-006,0
Governor,Wallace-Elder,GRN,026-007,2
Governor,Wallace-Elder,GRN,026-008,7
Governor,Wallace-Elder,GRN,026-009,9
Governor,Wallace-Elder,GRN,026-010,7
Governor,Wallace-Elder,GRN,026-011,2
Governor,Wallace-Elder,GRN,026-012,1
Governor,Wallace-Elder,GRN,026-013,2
Governor,Wallace-Elder,GRN,026-014,3
Governor,Wallace-Elder,GRN,026-015,1
Governor,Wallace-Elder,GRN,026-016,2
Governor,Wallace-Elder,GRN,026-017,4
Governor,Wallace-Elder,GRN,026-018,3
Governor,Wallace-Elder,GRN,026-019,1
Governor,Wallace-Elder,GRN,026-020,3
Governor,Wallace-Elder,GRN,026-021,3
Governor,Wallace-Elder,GRN,026-022,4
Governor,Wallace-Elder,GRN,026-023,5
Governor,Wallace-Elder,GRN,026-024,5
Governor,Wallace-Elder,GRN,026-025,6
Governor,Wallace-Elder,GRN,026-026,0
Governor,Wallace-Elder,GRN,026-027,7
Governor,Wallace-Elder,GRN,026-028,4
Governor,Wallace-Elder,GRN,026-029,10
Governor,Wallace-Elder,GRN,026-030,2
Governor,Wallace-Elder,GRN,026-031,2
Governor,Wallace-Elder,GRN,026-032,4
Governor,Wallace-Elder,GRN,026-033,4
Governor,Wallace-Elder,GRN,027-001,12
Governor,Wallace-Elder,GRN,027-002,6
Governor,Wallace-Elder,GRN,027-003,7
Governor,Wallace-Elder,GRN,027-004,2
Governor,Wallace-Elder,GRN,027-005,7
Governor,Wallace-Elder,GRN,027-006,11
Governor,Wallace-Elder,GRN,027-007,0
Governor,Wallace-Elder,GRN,027-008,9
Governor,Wallace-Elder,GRN,027-009,4
Governor,Wallace-Elder,GRN,027-010,7
Governor,Wallace-Elder,GRN,027-011,7
Governor,Wallace-Elder,GRN,027-012,2
Governor,Wallace-Elder,GRN,027-013,5
Governor,Wallace-Elder,GRN,027-014,17
Governor,Wallace-Elder,GRN,027-015,8
Governor,Wallace-Elder,GRN,027-016,4
Governor,Wallace-Elder,GRN,027-017,10
Governor,Wallace-Elder,GRN,027-018,5
Governor,Wallace-Elder,GRN,027-019,2
Governor,Wallace-Elder,GRN,027-020,1
Governor,Wallace-Elder,GRN,027-021,8
Governor,Wallace-Elder,GRN,027-022,7
Governor,Wallace-Elder,GRN,027-023,1
Governor,Wallace-Elder,GRN,027-024,0
Governor,Wallace-Elder,GRN,027-025,4
Governor,Wallace-Elder,GRN,027-026,3
Governor,Wallace-Elder,GRN,027-027,2
Governor,Wallace-Elder,GRN,027-028,3
Governor,Wallace-Elder,GRN,027-029,2
Governor,Wallace-Elder,GRN,027-030,1
Governor,Wallace-Elder,GRN,027-031,7
Governor,Wallace-Elder,GRN,027-032,8
Governor,Wallace-Elder,GRN,027-033,7
Governor,Wallace-Elder,GRN,027-034,7
Governor,Wallace-Elder,GRN,027-035,4
Governor,Wallace-Elder,GRN,027-036,5
Governor,Wallace-Elder,GRN,027-037,11
Governor,Wallace-Elder,GRN,027-038,0
Governor,Wallace-Elder,GRN,027-039,3
Governor,Wallace-Elder,GRN,027-040,7
Governor,Wallace-Elder,GRN,027-041,7
Governor,Wallace-Elder,GRN,027-042,3
Governor,Wallace-Elder,GRN,027-043,5
Governor,Wallace-Elder,GRN,027-044,10
Governor,Wallace-Elder,GRN,027-045,10
Governor,Wallace-Elder,GRN,027-046,5
Governor,Wallace-Elder,GRN,027-047,5
Governor,Wallace-Elder,GRN,027-048,4
Governor,Wallace-Elder,GRN,027-049,16
Governor,Wallace-Elder,GRN,027-050,3
Governor,Wallace-Elder,GRN,027-051,0
Governor,Wallace-Elder,GRN,027-052,3
Governor,Wallace-Elder,GRN,027-053,2
Governor,Wallace-Elder,GRN,027-054,2
Governor,Wallace-Elder,GRN,027-055,3
Governor,Wallace-Elder,GRN,027-056,0
Governor,Wallace-Elder,GRN,027-057,3
Governor,Wallace-Elder,GRN,027-058,2
Governor,Wallace-Elder,GRN,027-059,3
Governor,Wallace-Elder,GRN,027-060,7
Governor,Wallace-Elder,GRN,027-061,2
Governor,Wallace-Elder,GRN,027-062,9
Governor,Wallace-Elder,GRN,027-063,1
Governor,Wallace-Elder,GRN,027-064,4
Governor,Wallace-Elder,GRN,027-065,4
Governor,Wallace-Elder,GRN,027-066,2
Governor,Wallace-Elder,GRN,027-067,1
Governor,Wallace-Elder,GRN,027-069,3
Governor,Wallace-Elder,GRN,028-001,1
Governor,Wallace-Elder,GRN,028-002,6
Governor,Wallace-Elder,GRN,028-003,0
Governor,Wallace-Elder,GRN,028-004,0
Governor,Wallace-Elder,GRN,028-005,2
Governor,Wallace-Elder,GRN,028-006,3
Governor,Wallace-Elder,GRN,028-007,2
Governor,Wallace-Elder,GRN,028-008,4
Governor,Wallace-Elder,GRN,028-009,4
Governor,Wallace-Elder,GRN,028-010,8
Governor,Wallace-Elder,GRN,028-011,6
Governor,Wallace-Elder,GRN,028-012,5
Governor,Wallace-Elder,GRN,028-013,10
Governor,Wallace-Elder,GRN,028-014,3
Governor,Wallace-Elder,GRN,028-015,7
Governor,Harding-White,WCP,001-001,8
Governor,Harding-White,WCP,001-002,11
Governor,Harding-White,WCP,001-003,3
Governor,Harding-White,WCP,001-004,5
Governor,Harding-White,WCP,001-005,8
Governor,Harding-White,WCP,002-001,2
Governor,Harding-White,WCP,002-002,10
Governor,Harding-White,WCP,002-003,11
Governor,Harding-White,WCP,003-001,6
Governor,Harding-White,WCP,003-002,0
Governor,Harding-White,WCP,003-003,4
Governor,Harding-White,WCP,004-001,5
Governor,Harding-White,WCP,004-002,13
Governor,Harding-White,WCP,004-003,5
Governor,Harding-White,WCP,005-001,6
Governor,Harding-White,WCP,005-002,1
Governor,Harding-White,WCP,006-001,0
Governor,Harding-White,WCP,006-002,6
Governor,Harding-White,WCP,006-003,4
Governor,Harding-White,WCP,006-004,7
Governor,Harding-White,WCP,006-005,7
Governor,Harding-White,WCP,007-001,3
Governor,Harding-White,WCP,007-002,1
Governor,Harding-White,WCP,007-003,6
Governor,Harding-White,WCP,007-004,2
Governor,Harding-White,WCP,008-001,0
Governor,Harding-White,WCP,008-002,5
Governor,Harding-White,WCP,008-003,7
Governor,Harding-White,WCP,008-004,2
Governor,Harding-White,WCP,008-005,3
Governor,Harding-White,WCP,008-006,7
Governor,Harding-White,WCP,008-007,7
Governor,Harding-White,WCP,008-008,7
Governor,Harding-White,WCP,008-009,0
Governor,Harding-White,WCP,008-010,12
Governor,Harding-White,WCP,008-011,5
Governor,Harding-White,WCP,009-001,2
Governor,Harding-White,WCP,009-002,6
Governor,Harding-White,WCP,009-003,4
Governor,Harding-White,WCP,009-004,13
Governor,Harding-White,WCP,009-005,7
Governor,Harding-White,WCP,009-006,10
Governor,Harding-White,WCP,009-007,2
Governor,Harding-White,WCP,009-008,3
Governor,Harding-White,WCP,009-009,4
Governor,Harding-White,WCP,009-010,7
Governor,Harding-White,WCP,009-011,2
Governor,Harding-White,WCP,009-012,5
Governor,Harding-White,WCP,009-013,1
Governor,Harding-White,WCP,009-014,7
Governor,Harding-White,WCP,009-015,5
Governor,Harding-White,WCP,010-001,1
Governor,Harding-White,WCP,010-002,4
Governor,Harding-White,WCP,010-003,1
Governor,Harding-White,WCP,010-004,2
Governor,Harding-White,WCP,011-001,13
Governor,Harding-White,WCP,011-002,4
Governor,Harding-White,WCP,011-003,8
Governor,Harding-White,WCP,011-004,2
Governor,Harding-White,WCP,011-005,9
Governor,Harding-White,WCP,011-006,12
Governor,Harding-White,WCP,011-007,11
Governor,Harding-White,WCP,011-008,0
Governor,Harding-White,WCP,012-001,11
Governor,Harding-White,WCP,012-002,1
Governor,Harding-White,WCP,012-003,8
Governor,Harding-White,WCP,012-004,7
Governor,Harding-White,WCP,012-005,7
Governor,Harding-White,WCP,012-006,12
Governor,Harding-White,WCP,012-007,12
Governor,Harding-White,WCP,012-008,24
Governor,Harding-White,WCP,012-009,2
Governor,Harding-White,WCP,012-010,7
Governor,Harding-White,WCP,012-011,3
Governor,Harding-White,WCP,012-012,10
Governor,Harding-White,WCP,013-001,4
Governor,Harding-White,WCP,013-002,14
Governor,Harding-White,WCP,013-003,11
Governor,Harding-White,WCP,013-004,21
Governor,Harding-White,WCP,013-005,9
Governor,Harding-White,WCP,013-006,1
Governor,Harding-White,WCP,013-007,7
Governor,Harding-White,WCP,013-008,8
Governor,Harding-White,WCP,013-009,5
Governor,Harding-White,WCP,013-010,9
Governor,Harding-White,WCP,013-011,16
Governor,Harding-White,WCP,013-012,13
Governor,Harding-White,WCP,014-001,4
Governor,Harding-White,WCP,014-002,3
Governor,Harding-White,WCP,014-003,5
Governor,Harding-White,WCP,014-004,11
Governor,Harding-White,WCP,014-005,3
Governor,Harding-White,WCP,015-001,5
Governor,Harding-White,WCP,015-002,1
Governor,Harding-White,WCP,015-003,7
Governor,Harding-White,WCP,015-004,4
Governor,Harding-White,WCP,015-005,6
Governor,Harding-White,WCP,015-006,4
Governor,Harding-White,WCP,015-007,5
Governor,Harding-White,WCP,015-008,5
Governor,Harding-White,WCP,015-009,11
Governor,Harding-White,WCP,015-010,8
Governor,Harding-White,WCP,015-011,6
Governor,Harding-White,WCP,015-012,1
Governor,Harding-White,WCP,015-013,7
Governor,Harding-White,WCP,015-014,6
Governor,Harding-White,WCP,015-015,1
Governor,Harding-White,WCP,015-016,3
Governor,Harding-White,WCP,015-017,4
Governor,Harding-White,WCP,015-018,6
Governor,Harding-White,WCP,015-019,3
Governor,Harding-White,WCP,015-020,7
Governor,Harding-White,WCP,015-021,4
Governor,Harding-White,WCP,015-022,1
Governor,Harding-White,WCP,015-023,2
Governor,Harding-White,WCP,015-024,4
Governor,Harding-White,WCP,015-025,2
Governor,Harding-White,WCP,016-001,0
Governor,Harding-White,WCP,016-002,2
Governor,Harding-White,WCP,016-003,5
Governor,Harding-White,WCP,016-004,0
Governor,Harding-White,WCP,016-005,3
Governor,Harding-White,WCP,016-006,8
Governor,Harding-White,WCP,016-007,3
Governor,Harding-White,WCP,016-008,0
Governor,Harding-White,WCP,016-009,1
Governor,Harding-White,WCP,016-010,4
Governor,Harding-White,WCP,016-011,9
Governor,Harding-White,WCP,016-012,7
Governor,Harding-White,WCP,016-013,7
Governor,Harding-White,WCP,016-014,10
Governor,Harding-White,WCP,017-001,2
Governor,Harding-White,WCP,017-002,7
Governor,Harding-White,WCP,018-001,7
Governor,Harding-White,WCP,018-002,7
Governor,Harding-White,WCP,019-001,3
Governor,Harding-White,WCP,019-002,2
Governor,Harding-White,WCP,019-003,1
Governor,Harding-White,WCP,020-001,7
Governor,Harding-White,WCP,020-002,6
Governor,Harding-White,WCP,020-003,2
Governor,Harding-White,WCP,020-004,0
Governor,Harding-White,WCP,020-005,1
Governor,Harding-White,WCP,020-006,10
Governor,Harding-White,WCP,020-007,6
Governor,Harding-White,WCP,020-008,5
Governor,Harding-White,WCP,020-009,1
Governor,Harding-White,WCP,020-010,1
Governor,Harding-White,WCP,020-011,3
Governor,Harding-White,WCP,021-001,4
Governor,Harding-White,WCP,021-002,7
Governor,Harding-White,WCP,021-003,5
Governor,Harding-White,WCP,021-004,2
Governor,Harding-White,WCP,022-001,1
Governor,Harding-White,WCP,022-002,3
Governor,Harding-White,WCP,023-001,6
Governor,Harding-White,WCP,023-002,5
Governor,Harding-White,WCP,023-003,9
Governor,Harding-White,WCP,024-001,5
Governor,Harding-White,WCP,024-002,2
Governor,Harding-White,WCP,024-003,5
Governor,Harding-White,WCP,024-004,7
Governor,Harding-White,WCP,024-005,11
Governor,Harding-White,WCP,025-001,13
Governor,Harding-White,WCP,025-002,4
Governor,Harding-White,WCP,025-003,6
Governor,Harding-White,WCP,025-004,9
Governor,Harding-White,WCP,025-005,4
Governor,Harding-White,WCP,025-006,9
Governor,Harding-White,WCP,025-007,4
Governor,Harding-White,WCP,025-008,9
Governor,Harding-White,WCP,025-009,5
Governor,Harding-White,WCP,025-010,6
Governor,Harding-White,WCP,025-011,2
Governor,Harding-White,WCP,025-012,9
Governor,Harding-White,WCP,025-013,2
Governor,Harding-White,WCP,025-014,6
Governor,Harding-White,WCP,025-015,5
Governor,Harding-White,WCP,025-016,7
Governor,Harding-White,WCP,025-017,12
Governor,Harding-White,WCP,026-001,2
Governor,Harding-White,WCP,026-002,3
Governor,Harding-White,WCP,026-003,3
Governor,Harding-White,WCP,026-004,1
Governor,Harding-White,WCP,026-005,2
Governor,Harding-White,WCP,026-006,5
Governor,Harding-White,WCP,026-007,3
Governor,Harding-White,WCP,026-008,5
Governor,Harding-White,WCP,026-009,17
Governor,Harding-White,WCP,026-010,8
Governor,Harding-White,WCP,026-011,3
Governor,Harding-White,WCP,026-012,1
Governor,Harding-White,WCP,026-013,7
Governor,Harding-White,WCP,026-014,9
Governor,Harding-White,WCP,026-015,10
Governor,Harding-White,WCP,026-016,9
Governor,Harding-White,WCP,026-017,4
Governor,Harding-White,WCP,026-018,4
Governor,Harding-White,WCP,026-019,6
Governor,Harding-White,WCP,026-020,5
Governor,Harding-White,WCP,026-021,2
Governor,Harding-White,WCP,026-022,3
Governor,Harding-White,WCP,026-023,4
Governor,Harding-White,WCP,026-024,8
Governor,Harding-White,WCP,026-025,6
Governor,Harding-White,WCP,026-026,9
Governor,Harding-White,WCP,026-027,11
Governor,Harding-White,WCP,026-028,6
Governor,Harding-White,WCP,026-029,12
Governor,Harding-White,WCP,026-030,5
Governor,Harding-White,WCP,026-031,5
Governor,Harding-White,WCP,026-032,1
Governor,Harding-White,WCP,026-033,4
Governor,Harding-White,WCP,027-001,12
Governor,Harding-White,WCP,027-002,4
Governor,Harding-White,WCP,027-003,4
Governor,Harding-White,WCP,027-004,4
Governor,Harding-White,WCP,027-005,18
Governor,Harding-White,WCP,027-006,14
Governor,Harding-White,WCP,027-007,5
Governor,Harding-White,WCP,027-008,10
Governor,Harding-White,WCP,027-009,7
Governor,Harding-White,WCP,027-010,5
Governor,Harding-White,WCP,027-011,17
Governor,Harding-White,WCP,027-012,7
Governor,Harding-White,WCP,027-013,5
Governor,Harding-White,WCP,027-014,22
Governor,Harding-White,WCP,027-015,8
Governor,Harding-White,WCP,027-016,4
Governor,Harding-White,WCP,027-017,6
Governor,Harding-White,WCP,027-018,10
Governor,Harding-White,WCP,027-019,5
Governor,Harding-White,WCP,027-020,7
Governor,Harding-White,WCP,027-021,9
Governor,Harding-White,WCP,027-022,7
Governor,Harding-White,WCP,027-023,2
Governor,Harding-White,WCP,027-024,0
Governor,Harding-White,WCP,027-025,7
Governor,Harding-White,WCP,027-026,4
Governor,Harding-White,WCP,027-027,7
Governor,Harding-White,WCP,027-028,2
Governor,Harding-White,WCP,027-029,4
Governor,Harding-White,WCP,027-030,3
Governor,Harding-White,WCP,027-031,6
Governor,Harding-White,WCP,027-032,10
Governor,Harding-White,WCP,027-033,7
Governor,Harding-White,WCP,027-034,6
Governor,Harding-White,WCP,027-035,5
Governor,Harding-White,WCP,027-036,4
Governor,Harding-White,WCP,027-037,8
Governor,Harding-White,WCP,027-038,0
Governor,Harding-White,WCP,027-039,1
Governor,Harding-White,WCP,027-040,3
Governor,Harding-White,WCP,027-041,2
Governor,Harding-White,WCP,027-042,2
Governor,Harding-White,WCP,027-043,6
Governor,Harding-White,WCP,027-044,5
Governor,Harding-White,WCP,027-045,2
Governor,Harding-White,WCP,027-046,1
Governor,Harding-White,WCP,027-047,7
Governor,Harding-White,WCP,027-048,1
Governor,Harding-White,WCP,027-049,7
Governor,Harding-White,WCP,027-050,7
Governor,Harding-White,WCP,027-051,0
Governor,Harding-White,WCP,027-052,5
Governor,Harding-White,WCP,027-053,7
Governor,Harding-White,WCP,027-054,2
Governor,Harding-White,WCP,027-055,3
Governor,Harding-White,WCP,027-056,0
Governor,Harding-White,WCP,027-057,4
Governor,Harding-White,WCP,027-058,5
Governor,Harding-White,WCP,027-059,6
Governor,Harding-White,WCP,027-060,5
Governor,Harding-White,WCP,027-061,3
Governor,Harding-White,WCP,027-062,2
Governor,Harding-White,WCP,027-063,8
Governor,Harding-White,WCP,027-064,2
Governor,Harding-White,WCP,027-065,4
Governor,Harding-White,WCP,027-066,7
Governor,Harding-White,WCP,027-067,1
Governor,Harding-White,WCP,027-069,0
Governor,Harding-White,WCP,028-001,7
Governor,Harding-White,WCP,028-002,7
Governor,Harding-White,WCP,028-003,2
Governor,Harding-White,WCP,028-004,2
Governor,Harding-White,WCP,028-005,6
Governor,Harding-White,WCP,028-006,8
Governor,Harding-White,WCP,028-007,2
Governor,Harding-White,WCP,028-008,5
Governor,Harding-White,WCP,028-009,7
Governor,Harding-White,WCP,028-010,10
Governor,Harding-White,WCP,028-011,9
Governor,Harding-White,WCP,028-012,4
Governor,Harding-White,WCP,028-013,6
Governor,Harding-White,WCP,028-014,2
Governor,Harding-White,WCP,028-015,6
