Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Adjusted_Total_Adult_Pop
014-001,Adj,2050,2055,1790,917,393,1,466,0,13,114,151,1934
014-002,Adj,1137,1153,1083,412,636,2,21,1,11,28,42,986
014-003,Adj,1328,1355,1304,52,1233,2,7,0,10,30,21,933
014-004,Adj,3024,3069,2877,482,2321,8,49,4,13,121,71,2514
014-005,Adj,596,609,569,4,561,2,0,1,1,29,11,483
015-001,Adj,2022,2047,1954,47,1880,8,10,0,9,45,48,1679
015-002,Adj,1318,1337,1270,69,1187,5,6,0,3,27,40,1039
015-003,Adj,2845,2875,2726,45,2643,15,12,2,9,62,87,2306
015-004,Adj,1096,1108,1063,12,1027,5,13,1,5,28,17,896
015-005,Adj,1501,1514,1415,37,1364,4,6,2,2,54,45,1254
015-006,Adj,2071,2104,2019,25,1971,0,9,0,14,49,36,1646
015-013,Adj,923,936,913,1,908,1,2,0,1,15,8,733
015-014,Adj,1659,1690,1627,20,1593,7,3,0,4,46,17,1330
015-015,Adj,886,911,881,25,851,1,0,0,4,21,9,677
015-016,Adj,889,915,906,8,896,2,0,0,0,6,3,706
015-017,Adj,1750,1791,1747,13,1720,3,6,0,5,32,12,1407
015-018,Adj,3196,3287,3154,39,3087,3,9,2,14,79,54,2496
015-019,Adj,90,96,NA,0,81,0,2,0,1,6,6,72
015-020,Adj,3249,3296,3133,251,2587,2,274,0,19,86,77,2776
015-021,Adj,1460,1481,1409,30,1364,0,9,3,3,41,31,1211
015-022,Adj,1193,1225,1171,52,1103,1,6,3,6,30,24,924
015-023,Adj,2345,2381,2277,102,2153,11,4,0,7,54,50,1943
015-024,Adj,2373,2417,2295,35,2243,5,0,1,11,74,48,1837
015-025,Adj,1004,1019,938,81,844,4,2,0,7,38,43,881
016-001,Adj,961,989,949,27,905,0,4,1,12,15,25,745
016-002,Adj,1561,1593,1518,34,1467,0,12,0,5,40,35,1316
016-003,Adj,978,1001,941,33,894,0,5,1,8,27,33,805
016-004,Adj,649,662,632,10,607,1,5,2,7,17,13,510
016-005,Adj,2020,2073,1988,58,1904,4,16,0,6,59,26,1686
016-006,Adj,2089,2124,2044,16,2018,5,0,0,5,29,51,1702
016-007,Adj,1635,1662,1587,20,1553,4,4,0,6,34,41,1264
016-008,Adj,979,1000,967,8,953,2,4,0,0,16,17,775
016-009,Adj,1607,1642,1582,13,1554,6,1,0,8,46,14,1276
016-010,Adj,1071,1099,1063,8,1046,1,0,0,8,23,13,837
016-011,Adj,978,1001,932,19,912,0,0,0,1,44,25,788
016-012,Adj,2259,2313,2197,25,2157,4,4,0,7,82,34,1693
016-013,Adj,1995,2051,1980,23,1951,2,0,0,4,33,38,1537
016-014,Adj,3642,3691,3509,52,3432,10,5,2,8,111,71,2910
017-001,Adj,267,268,237,12,206,3,11,3,2,20,11,210
017-002,Adj,3916,3984,3729,271,3387,8,34,4,25,136,119,3103
018-001,Adj,1707,1743,1662,23,1615,2,3,0,19,59,22,1209
018-002,Adj,2286,2310,2062,478,1476,4,74,0,30,92,156,1877
019-001,Adj,1626,1661,1532,53,1452,7,9,0,11,43,86,1294
019-002,Adj,3275,3332,2694,791,1822,15,51,3,12,159,479,2497
019-003,Adj,288,294,283,40,243,0,0,0,0,4,7,254
020-001,Adj,1791,1840,1769,28,1731,0,6,0,4,45,26,1442
020-002,Adj,916,945,851,48,792,3,1,0,7,61,33,742
020-003,Adj,2100,2150,2032,67,1939,7,6,3,10,53,65,1677
020-004,Adj,236,244,239,0,238,1,0,0,0,3,2,191
020-005,Adj,1241,1261,1145,35,1091,4,7,0,8,52,64,952
020-006,Adj,3354,3421,3326,43,3260,10,5,1,7,55,40,2700
020-007,Adj,2712,2759,2593,137,2418,6,24,0,8,75,91,2184
020-008,Adj,869,889,820,95,716,2,7,0,0,45,24,704
020-009,Adj,1018,1034,873,410,430,3,25,0,5,59,102,803
020-010,Adj,902,913,800,179,582,7,30,0,2,40,73,677
020-011,Adj,2126,2181,1927,460,1419,8,27,0,13,101,153,1564
020-012,Unadj,0,0,NA,0,0,0,0,0,0,0,0,0
021-001,Adj,1148,1149,1034,648,205,0,168,0,13,48,67,1054
021-002,Adj,1916,1925,1706,601,923,9,154,2,17,90,129,1663
023-002,Adj,1737,1745,1618,945,598,2,71,0,2,57,70,1517
023-003,Adj,2709,2714,2472,2183,175,5,99,1,9,108,134,2539
