Precinct,Variable,Count
014-003,BALLOTS CAST - BLANK,5
014-004,BALLOTS CAST - BLANK,21
014-005,BALLOTS CAST - BLANK,4
015-001,BALLOTS CAST - BLANK,5
015-002,BALLOTS CAST - BLANK,0
015-003,BALLOTS CAST - BLANK,11
015-004,BALLOTS CAST - BLANK,9
015-005,BALLOTS CAST - BLANK,3
015-006,BALLOTS CAST - BLANK,10
015-007,BALLOTS CAST - BLANK,7
015-008,BALLOTS CAST - BLANK,4
015-009,BALLOTS CAST - BLANK,7
015-010,BALLOTS CAST - BLANK,4
015-011,BALLOTS CAST - BLANK,7
015-012,BALLOTS CAST - BLANK,0
015-013,BALLOTS CAST - BLANK,6
015-014,BALLOTS CAST - BLANK,1
015-015,BALLOTS CAST - BLANK,4
015-016,BALLOTS CAST - BLANK,1
015-017,BALLOTS CAST - BLANK,0
015-018,BALLOTS CAST - BLANK,2
015-019,BALLOTS CAST - BLANK,2
015-020,BALLOTS CAST - BLANK,13
015-021,BALLOTS CAST - BLANK,6
015-022,BALLOTS CAST - BLANK,18
015-023,BALLOTS CAST - BLANK,2
015-024,BALLOTS CAST - BLANK,2
015-025,BALLOTS CAST - BLANK,7
016-001,BALLOTS CAST - BLANK,0
016-002,BALLOTS CAST - BLANK,5
016-003,BALLOTS CAST - BLANK,4
016-004,BALLOTS CAST - BLANK,2
016-005,BALLOTS CAST - BLANK,6
016-006,BALLOTS CAST - BLANK,6
016-007,BALLOTS CAST - BLANK,4
016-008,BALLOTS CAST - BLANK,7
016-009,BALLOTS CAST - BLANK,5
016-010,BALLOTS CAST - BLANK,0
016-011,BALLOTS CAST - BLANK,3
016-012,BALLOTS CAST - BLANK,9
016-013,BALLOTS CAST - BLANK,4
016-014,BALLOTS CAST - BLANK,4
017-001,BALLOTS CAST - BLANK,0
017-002,BALLOTS CAST - BLANK,11
018-001,BALLOTS CAST - BLANK,3
018-002,BALLOTS CAST - BLANK,8
019-001,BALLOTS CAST - BLANK,12
019-002,BALLOTS CAST - BLANK,1
019-003,BALLOTS CAST - BLANK,4
020-001,BALLOTS CAST - BLANK,9
020-002,BALLOTS CAST - BLANK,2
020-003,BALLOTS CAST - BLANK,5
020-004,BALLOTS CAST - BLANK,2
020-005,BALLOTS CAST - BLANK,3
020-006,BALLOTS CAST - BLANK,15
020-007,BALLOTS CAST - BLANK,1
020-008,BALLOTS CAST - BLANK,2
020-009,BALLOTS CAST - BLANK,0
020-010,BALLOTS CAST - BLANK,4
020-011,BALLOTS CAST - BLANK,4
021-001,BALLOTS CAST - BLANK,3
021-002,BALLOTS CAST - BLANK,2
021-003,BALLOTS CAST - BLANK,11
021-004,BALLOTS CAST - BLANK,2
022-001,BALLOTS CAST - BLANK,4
022-002,BALLOTS CAST - BLANK,13
023-001,BALLOTS CAST - BLANK,14
023-002,BALLOTS CAST - BLANK,14
023-003,BALLOTS CAST - BLANK,23
024-001,BALLOTS CAST - BLANK,1
024-002,BALLOTS CAST - BLANK,9
024-003,BALLOTS CAST - BLANK,28
024-004,BALLOTS CAST - BLANK,24
024-005,BALLOTS CAST - BLANK,32
025-001,BALLOTS CAST - BLANK,13
025-002,BALLOTS CAST - BLANK,5
025-003,BALLOTS CAST - BLANK,20
025-004,BALLOTS CAST - BLANK,21
025-005,BALLOTS CAST - BLANK,11
025-006,BALLOTS CAST - BLANK,2
025-007,BALLOTS CAST - BLANK,1
025-008,BALLOTS CAST - BLANK,3
025-009,BALLOTS CAST - BLANK,2
025-010,BALLOTS CAST - BLANK,13
025-011,BALLOTS CAST - BLANK,8
025-012,BALLOTS CAST - BLANK,6
025-013,BALLOTS CAST - BLANK,3
025-014,BALLOTS CAST - BLANK,9
025-015,BALLOTS CAST - BLANK,3
025-016,BALLOTS CAST - BLANK,16
025-017,BALLOTS CAST - BLANK,3
025-018,BALLOTS CAST - BLANK,2
026-001,BALLOTS CAST - BLANK,4
026-002,BALLOTS CAST - BLANK,12
026-003,BALLOTS CAST - BLANK,10
026-004,BALLOTS CAST - BLANK,18
026-005,BALLOTS CAST - BLANK,2
026-006,BALLOTS CAST - BLANK,20
026-007,BALLOTS CAST - BLANK,16
026-008,BALLOTS CAST - BLANK,13
026-009,BALLOTS CAST - BLANK,18
026-010,BALLOTS CAST - BLANK,10
026-011,BALLOTS CAST - BLANK,4
026-012,BALLOTS CAST - BLANK,5
026-013,BALLOTS CAST - BLANK,20
026-014,BALLOTS CAST - BLANK,4
026-015,BALLOTS CAST - BLANK,11
026-016,BALLOTS CAST - BLANK,11
026-017,BALLOTS CAST - BLANK,2
026-018,BALLOTS CAST - BLANK,5
026-019,BALLOTS CAST - BLANK,1
026-020,BALLOTS CAST - BLANK,4
026-021,BALLOTS CAST - BLANK,9
026-022,BALLOTS CAST - BLANK,2
026-023,BALLOTS CAST - BLANK,0
026-024,BALLOTS CAST - BLANK,6
026-025,BALLOTS CAST - BLANK,3
026-026,BALLOTS CAST - BLANK,2
026-027,BALLOTS CAST - BLANK,5
026-028,BALLOTS CAST - BLANK,2
026-029,BALLOTS CAST - BLANK,8
026-030,BALLOTS CAST - BLANK,1
026-031,BALLOTS CAST - BLANK,3
026-032,BALLOTS CAST - BLANK,13
026-033,BALLOTS CAST - BLANK,2
027-001,BALLOTS CAST - BLANK,10
027-002,BALLOTS CAST - BLANK,4
027-003,BALLOTS CAST - BLANK,5
027-004,BALLOTS CAST - BLANK,6
027-005,BALLOTS CAST - BLANK,20
027-006,BALLOTS CAST - BLANK,27
027-007,BALLOTS CAST - BLANK,7
027-008,BALLOTS CAST - BLANK,15
027-009,BALLOTS CAST - BLANK,11
027-010,BALLOTS CAST - BLANK,5
027-011,BALLOTS CAST - BLANK,22
027-012,BALLOTS CAST - BLANK,11
027-013,BALLOTS CAST - BLANK,28
027-014,BALLOTS CAST - BLANK,12
027-015,BALLOTS CAST - BLANK,7
027-016,BALLOTS CAST - BLANK,7
027-017,BALLOTS CAST - BLANK,6
027-018,BALLOTS CAST - BLANK,13
027-019,BALLOTS CAST - BLANK,2
027-020,BALLOTS CAST - BLANK,16
027-021,BALLOTS CAST - BLANK,7
027-022,BALLOTS CAST - BLANK,5
027-023,BALLOTS CAST - BLANK,2
027-024,BALLOTS CAST - BLANK,3
027-025,BALLOTS CAST - BLANK,6
027-026,BALLOTS CAST - BLANK,0
027-027,BALLOTS CAST - BLANK,6
027-028,BALLOTS CAST - BLANK,3
027-029,BALLOTS CAST - BLANK,3
027-030,BALLOTS CAST - BLANK,4
027-031,BALLOTS CAST - BLANK,3
027-032,BALLOTS CAST - BLANK,13
027-033,BALLOTS CAST - BLANK,9
027-034,BALLOTS CAST - BLANK,8
027-035,BALLOTS CAST - BLANK,8
027-036,BALLOTS CAST - BLANK,4
027-037,BALLOTS CAST - BLANK,0
027-038,BALLOTS CAST - BLANK,6
027-039,BALLOTS CAST - BLANK,8
027-040,BALLOTS CAST - BLANK,14
027-041,BALLOTS CAST - BLANK,20
027-042,BALLOTS CAST - BLANK,18
027-043,BALLOTS CAST - BLANK,15
027-044,BALLOTS CAST - BLANK,9
027-045,BALLOTS CAST - BLANK,8
027-046,BALLOTS CAST - BLANK,5
027-047,BALLOTS CAST - BLANK,8
027-048,BALLOTS CAST - BLANK,2
027-049,BALLOTS CAST - BLANK,32
027-050,BALLOTS CAST - BLANK,5
027-051,BALLOTS CAST - BLANK,1
027-052,BALLOTS CAST - BLANK,3
027-053,BALLOTS CAST - BLANK,6
027-054,BALLOTS CAST - BLANK,2
027-055,BALLOTS CAST - BLANK,6
027-056,BALLOTS CAST - BLANK,5
027-057,BALLOTS CAST - BLANK,7
027-058,BALLOTS CAST - BLANK,4
027-059,BALLOTS CAST - BLANK,5
027-060,BALLOTS CAST - BLANK,10
027-061,BALLOTS CAST - BLANK,4
027-062,BALLOTS CAST - BLANK,16
027-063,BALLOTS CAST - BLANK,22
027-064,BALLOTS CAST - BLANK,25
027-065,BALLOTS CAST - BLANK,51
027-066,BALLOTS CAST - BLANK,48
027-067,BALLOTS CAST - BLANK,10
028-001,BALLOTS CAST - BLANK,6
028-002,BALLOTS CAST - BLANK,6
028-003,BALLOTS CAST - BLANK,2
028-004,BALLOTS CAST - BLANK,3
028-005,BALLOTS CAST - BLANK,10
028-006,BALLOTS CAST - BLANK,10
028-007,BALLOTS CAST - BLANK,1
028-008,BALLOTS CAST - BLANK,1
028-009,BALLOTS CAST - BLANK,2
028-010,BALLOTS CAST - BLANK,9
028-011,BALLOTS CAST - BLANK,11
028-012,BALLOTS CAST - BLANK,4
028-013,BALLOTS CAST - BLANK,4
028-014,BALLOTS CAST - BLANK,5
028-015,BALLOTS CAST - BLANK,12
