"","PRECINCT","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"146",20009,149,96,NA,NA,17,45,38,46,54,45
"147",20010,106,64,NA,NA,8,20,33,20,35,54
"148",20011,196,151,2,NA,33,44,65,66,81,60
"149",21001,273,220,2,NA,87,226,82,36,35,29
"150",21002,442,414,2,NA,78,283,157,86,118,136
"151",21003,477,410,1,NA,81,247,173,148,141,98
"152",21004,81,106,NA,NA,9,76,40,24,25,13
"153",22001,508,378,2,NA,63,208,79,48,120,370
"154",22002,523,490,2,NA,111,234,142,111,182,235
"155",23001,392,423,NA,NA,177,347,100,89,54,48
"156",23002,339,340,2,NA,128,262,103,73,66,49
"157",23003,606,635,2,NA,249,576,170,89,89,70
"158",24001,251,245,1,NA,46,128,65,61,92,105
"159",24002,264,274,1,NA,98,210,92,49,45,45
"160",24003,671,623,1,NA,123,390,204,175,190,213
"161",24004,882,837,8,NA,184,760,357,166,129,131
"162",24005,1503,1433,10,NA,228,1186,616,355,289,272
"163",25001,1038,594,1,NA,138,279,288,254,337,337
"164",25002,654,355,4,NA,96,164,192,179,201,181
"165",25003,306,212,1,NA,38,86,84,109,96,106
"166",25004,533,460,2,NA,71,140,162,180,234,208
"167",25005,445,344,2,NA,83,116,107,128,178,179
"168",25006,259,141,NA,NA,35,66,55,64,83,97
"169",25007,105,69,NA,NA,17,28,25,28,45,31
"170",25008,547,255,NA,NA,56,184,122,117,192,131
"171",25009,306,154,NA,NA,30,83,76,60,85,126
"172",25010,365,222,NA,NA,44,85,97,98,136,127
"173",25011,142,113,1,NA,14,29,27,50,68,68
"174",25012,285,205,2,NA,43,70,88,95,109,87
"175",25013,157,118,NA,NA,15,46,59,43,61,51
"176",25014,229,130,NA,NA,42,70,68,68,66,45
"177",25015,245,175,2,NA,42,73,86,63,101,57
"178",25016,300,248,1,NA,29,88,95,111,117,109
"179",25017,472,317,2,NA,65,130,110,121,120,245
"180",26001,63,57,NA,NA,9,25,14,13,32,27
"181",26002,372,239,1,NA,55,111,82,102,151,111
"182",26003,326,286,NA,NA,56,75,69,86,141,185
"183",26004,229,163,NA,NA,23,62,51,56,75,125
"184",26005,131,97,1,NA,20,36,29,39,34,71
"185",26006,214,198,1,NA,45,85,68,53,61,101
"186",26007,434,384,1,NA,66,392,172,62,61,66
"187",26008,623,483,3,NA,97,555,196,87,75,99
"188",26009,1053,994,5,NA,143,951,442,199,132,185
"189",26010,624,452,2,NA,78,471,202,106,104,117
"190",26011,188,180,NA,NA,30,89,61,42,62,84
"191",26012,94,42,NA,NA,16,13,20,21,32,34
"192",26013,182,154,NA,NA,23,47,39,43,79,105
"193",26014,159,104,2,NA,18,41,36,35,63,72
"194",26015,495,303,3,NA,71,108,147,133,155,187
"195",26016,415,213,NA,NA,53,85,98,109,119,164
"196",26017,188,74,2,NA,28,46,53,43,59,35
"197",26018,386,215,1,NA,53,66,87,111,139,146
"198",26019,446,273,2,NA,48,83,119,127,173,171
"199",26020,227,109,NA,NA,29,63,60,40,85,59
"200",26021,293,152,NA,NA,30,63,91,74,95,92
"201",26022,232,134,NA,NA,31,45,66,59,84,81
"202",26023,378,182,NA,NA,46,89,93,107,123,102
"203",26024,705,395,1,NA,89,152,155,174,262,269
"204",26025,427,291,2,NA,81,113,94,112,193,127
"205",26026,587,391,NA,NA,81,127,168,209,214,179
"206",26027,492,315,1,NA,63,116,121,123,192,193
"207",26028,429,262,NA,NA,47,104,101,114,148,177
"208",26029,1392,805,1,NA,191,354,333,367,454,499
"209",26030,346,245,2,NA,45,103,105,120,115,105
"210",26031,269,228,2,NA,34,77,84,86,121,97
"211",26032,566,309,NA,NA,77,110,156,170,184,178
"212",26033,541,265,2,NA,44,86,135,124,227,192
"213",27001,788,532,1,NA,87,196,235,258,277,268
"214",27002,276,203,NA,NA,24,83,82,74,101,115
"215",27003,294,206,NA,NA,35,71,101,72,108,113
"216",27004,202,155,NA,NA,12,72,77,68,62,66
"217",27005,872,624,3,NA,116,262,312,254,290,265
"218",27006,1115,648,4,NA,145,259,302,340,374,347
"219",27007,418,236,1,NA,52,102,118,121,120,142
"220",27008,908,592,NA,NA,110,235,274,274,323,284
"221",27009,553,402,NA,NA,81,144,174,181,183,192
"222",27010,259,206,1,NA,37,66,102,71,93,97
"223",27011,837,634,2,NA,113,217,278,288,287,290
"224",27012,227,171,NA,NA,26,73,78,63,78,80
"225",27013,834,553,NA,NA,127,236,211,240,309,264
"226",27014,967,702,2,NA,108,294,373,304,290,302
"227",27015,739,488,NA,NA,98,183,196,201,239,310
"228",27016,283,187,1,NA,29,78,88,76,82,118
"229",27017,463,352,NA,NA,54,133,138,123,141,226
"230",27018,617,447,1,NA,75,173,237,157,209,214
"231",27019,427,239,NA,NA,60,94,99,101,146,166
"232",27020,1017,487,2,NA,119,190,217,243,321,416
"233",27021,774,425,NA,NA,107,178,179,183,247,305
"234",27022,1063,546,NA,NA,93,191,201,209,281,634
"235",27023,241,119,1,NA,21,58,51,52,67,112
"236",27024,202,109,1,NA,38,44,34,46,56,94
"237",27025,475,244,3,NA,54,110,105,93,122,238
"238",27026,305,224,NA,NA,25,89,90,82,112,131
"239",27027,633,334,1,NA,71,144,147,149,196,261
"240",27028,452,257,1,NA,50,102,97,100,148,213
"241",27029,312,176,1,NA,37,77,69,65,112,129
"242",27030,517,294,NA,NA,71,116,80,120,174,250
"243",27031,851,473,3,NA,114,189,190,194,304,336
"244",27032,939,613,NA,NA,130,222,257,258,328,357
"245",27033,905,570,3,NA,99,229,267,237,273,373
