County,County Name,Precinct,Congressional,Legislative,Office Name,Early Votes For,Early Votes Against,Election Night Votes For,Election Night Votes Against,Mail-In Ballot 1 Votes For,Mail-In Ballot 1 Votes Against,Provisional Votes For,Provisional Votes Against,Mail-In Ballot 2 Votes For,Mail-In Ballot 2 Votes Against,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,001-004,07,46,Governor / Lt. Governor,154,NA,577,NA,220,NA,63,NA,112,NA,154,577,220,63,112
03,Baltimore City,001-004,07,46,House of Delegates,372,NA,1288,NA,568,NA,164,NA,285,NA,372,1288,568,164,285
03,Baltimore City,001-004,07,46,Judge Circuit Court,316,NA,1088,NA,476,NA,123,NA,232,NA,316,1088,476,123,232
03,Baltimore City,001-004,07,46,Judge Orphans' Court,300,NA,1095,NA,416,NA,128,NA,236,NA,300,1095,416,128,236
03,Baltimore City,001-004,07,46,Judge Spec Appeal at Lg,193,42,657,194,241,42,69,17,121,19,235,851,283,86,140
03,Baltimore City,001-004,07,46,Register of Wills,113,NA,448,NA,153,NA,51,NA,89,NA,113,448,153,51,89
03,Baltimore City,001-004,07,46,Sheriff,123,NA,447,NA,176,NA,50,NA,92,NA,123,447,176,50,92
03,Baltimore City,001-004,07,46,State Senator,153,NA,560,NA,222,NA,64,NA,113,NA,153,560,222,64,113
03,Baltimore City,001-004,07,46,State's Attorney,143,NA,508,NA,194,NA,55,NA,101,NA,143,508,194,55,101
03,Baltimore City,001-004,07,46,U.S. Congress,150,NA,559,NA,218,NA,66,NA,111,NA,150,559,218,66,111
03,Baltimore City,001-004,07,46,U.S. Senator,154,NA,566,NA,222,NA,66,NA,111,NA,154,566,222,66,111
03,Baltimore City,001-005,07,46,Attorney General,189,NA,839,NA,248,NA,75,NA,157,NA,189,839,248,75,157
03,Baltimore City,001-005,07,46,Board of Ed at Large,212,NA,1076,NA,342,NA,87,NA,177,NA,212,1076,342,87,177
03,Baltimore City,001-005,07,46,Clerk Circuit Court,139,NA,664,NA,191,NA,65,NA,118,NA,139,664,191,65,118
03,Baltimore City,001-005,07,46,Comptroller,191,NA,853,NA,252,NA,76,NA,157,NA,191,853,252,76,157
03,Baltimore City,001-005,07,46,Governor / Lt. Governor,191,NA,859,NA,250,NA,76,NA,157,NA,191,859,250,76,157
03,Baltimore City,001-005,07,46,House of Delegates,480,NA,1966,NA,635,NA,179,NA,387,NA,480,1966,635,179,387
03,Baltimore City,001-005,07,46,Judge Circuit Court,393,NA,1758,NA,627,NA,161,NA,343,NA,393,1758,627,161,343
03,Baltimore City,001-005,07,46,Judge Orphans' Court,347,NA,1637,NA,546,NA,145,NA,339,NA,347,1637,546,145,339
03,Baltimore City,001-005,07,46,Judge Spec Appeal at Lg,219,46,981,296,319,47,84,26,154,46,265,1277,366,110,200
03,Baltimore City,001-005,07,46,Register of Wills,140,NA,671,NA,196,NA,65,NA,118,NA,140,671,196,65,118
03,Baltimore City,001-005,07,46,Sheriff,152,NA,667,NA,211,NA,65,NA,129,NA,152,667,211,65,129
03,Baltimore City,001-005,07,46,State Senator,188,NA,835,NA,243,NA,74,NA,155,NA,188,835,243,74,155
03,Baltimore City,001-005,07,46,State's Attorney,176,NA,748,NA,230,NA,71,NA,141,NA,176,748,230,71,141
03,Baltimore City,001-005,07,46,U.S. Congress,191,NA,840,NA,245,NA,75,NA,155,NA,191,840,245,75,155
03,Baltimore City,001-005,07,46,U.S. Senator,192,NA,844,NA,250,NA,75,NA,157,NA,192,844,250,75,157
03,Baltimore City,002-001,07,46,Attorney General,56,NA,241,NA,82,NA,71,NA,67,NA,56,241,82,71,67
03,Baltimore City,002-001,07,46,Board of Ed at Large,76,NA,306,NA,114,NA,81,NA,98,NA,76,306,114,81,98
03,Baltimore City,002-001,07,46,Clerk Circuit Court,39,NA,191,NA,64,NA,61,NA,63,NA,39,191,64,61,63
03,Baltimore City,002-001,07,46,Comptroller,56,NA,241,NA,82,NA,71,NA,67,NA,56,241,82,71,67
03,Baltimore City,002-001,07,46,Governor / Lt. Governor,56,NA,244,NA,83,NA,71,NA,66,NA,56,244,83,71,66
03,Baltimore City,002-001,07,46,House of Delegates,140,NA,592,NA,228,NA,175,NA,188,NA,140,592,228,175,188
03,Baltimore City,002-001,07,46,Judge Circuit Court,127,NA,498,NA,184,NA,105,NA,148,NA,127,498,184,105,148
03,Baltimore City,002-001,07,46,Judge Orphans' Court,110,NA,471,NA,171,NA,146,NA,159,NA,110,471,171,146,159
03,Baltimore City,002-001,07,46,Judge Spec Appeal at Lg,68,17,240,85,92,23,67,20,84,19,85,325,115,87,103
03,Baltimore City,002-001,07,46,Register of Wills,41,NA,190,NA,65,NA,59,NA,60,NA,41,190,65,59,60
03,Baltimore City,002-001,07,46,Sheriff,46,NA,197,NA,66,NA,57,NA,63,NA,46,197,66,57,63
03,Baltimore City,002-001,07,46,State Senator,56,NA,240,NA,81,NA,68,NA,68,NA,56,240,81,68,68
03,Baltimore City,002-001,07,46,State's Attorney,54,NA,226,NA,74,NA,63,NA,66,NA,54,226,74,63,66
03,Baltimore City,002-001,07,46,U.S. Congress,55,NA,242,NA,83,NA,71,NA,67,NA,55,242,83,71,67
03,Baltimore City,002-001,07,46,U.S. Senator,56,NA,239,NA,84,NA,72,NA,67,NA,56,239,84,72,67
03,Baltimore City,002-002,07,46,Attorney General,78,NA,448,NA,104,NA,52,NA,106,NA,78,448,104,52,106
03,Baltimore City,002-002,07,46,Board of Ed at Large,110,NA,521,NA,133,NA,60,NA,155,NA,110,521,133,60,155
03,Baltimore City,002-002,07,46,Clerk Circuit Court,53,NA,340,NA,72,NA,44,NA,84,NA,53,340,72,44,84
03,Baltimore City,002-002,07,46,Comptroller,77,NA,452,NA,104,NA,51,NA,109,NA,77,452,104,51,109
03,Baltimore City,002-002,07,46,Governor / Lt. Governor,78,NA,450,NA,109,NA,51,NA,108,NA,78,450,109,51,108
03,Baltimore City,002-002,07,46,House of Delegates,206,NA,1091,NA,277,NA,129,NA,290,NA,206,1091,277,129,290
03,Baltimore City,002-002,07,46,Judge Circuit Court,116,NA,813,NA,235,NA,119,NA,240,NA,116,813,235,119,240
03,Baltimore City,002-002,07,46,Judge Orphans' Court,140,NA,840,NA,194,NA,108,NA,241,NA,140,840,194,108,241
03,Baltimore City,002-002,07,46,Judge Spec Appeal at Lg,65,23,425,146,95,32,54,4,118,22,88,571,127,58,140
03,Baltimore City,002-002,07,46,Register of Wills,53,NA,335,NA,72,NA,43,NA,82,NA,53,335,72,43,82
03,Baltimore City,002-002,07,46,Sheriff,66,NA,352,NA,85,NA,38,NA,92,NA,66,352,85,38,92
03,Baltimore City,002-002,07,46,State Senator,75,NA,442,NA,103,NA,50,NA,108,NA,75,442,103,50,108
03,Baltimore City,002-002,07,46,State's Attorney,70,NA,406,NA,97,NA,48,NA,98,NA,70,406,97,48,98
03,Baltimore City,002-002,07,46,U.S. Congress,76,NA,450,NA,103,NA,49,NA,108,NA,76,450,103,49,108
03,Baltimore City,002-002,07,46,U.S. Senator,78,NA,453,NA,109,NA,51,NA,107,NA,78,453,109,51,107
03,Baltimore City,002-003,07,46,Attorney General,98,NA,579,NA,202,NA,85,NA,147,NA,98,579,202,85,147
03,Baltimore City,002-003,07,46,Board of Ed at Large,122,NA,683,NA,242,NA,90,NA,158,NA,122,683,242,90,158
03,Baltimore City,002-003,07,46,Clerk Circuit Court,69,NA,465,NA,155,NA,73,NA,109,NA,69,465,155,73,109
03,Baltimore City,002-003,07,46,Comptroller,99,NA,585,NA,202,NA,85,NA,146,NA,99,585,202,85,146
03,Baltimore City,002-003,07,46,Governor / Lt. Governor,99,NA,588,NA,204,NA,85,NA,147,NA,99,588,204,85,147
03,Baltimore City,002-003,07,46,House of Delegates,245,NA,1378,NA,519,NA,185,NA,363,NA,245,1378,519,185,363
03,Baltimore City,002-003,07,46,Judge Circuit Court,200,NA,1126,NA,425,NA,149,NA,291,NA,200,1126,425,149,291
03,Baltimore City,002-003,07,46,Judge Orphans' Court,182,NA,1125,NA,425,NA,155,NA,294,NA,182,1125,425,155,294
03,Baltimore City,002-003,07,46,Judge Spec Appeal at Lg,121,20,701,146,216,50,91,13,154,17,141,847,266,104,171
03,Baltimore City,002-003,07,46,Register of Wills,71,NA,462,NA,157,NA,73,NA,108,NA,71,462,157,73,108
03,Baltimore City,002-003,07,46,Sheriff,75,NA,464,NA,164,NA,69,NA,119,NA,75,464,164,69,119
03,Baltimore City,002-003,07,46,State Senator,99,NA,576,NA,197,NA,81,NA,144,NA,99,576,197,81,144
03,Baltimore City,002-003,07,46,State's Attorney,86,NA,517,NA,199,NA,78,NA,133,NA,86,517,199,78,133
03,Baltimore City,002-003,07,46,U.S. Congress,99,NA,583,NA,197,NA,86,NA,145,NA,99,583,197,86,145
03,Baltimore City,002-003,07,46,U.S. Senator,98,NA,587,NA,200,NA,85,NA,146,NA,98,587,200,85,146
03,Baltimore City,003-001,07,46,Attorney General,28,NA,101,NA,28,NA,23,NA,17,NA,28,101,28,23,17
03,Baltimore City,003-001,07,46,Board of Ed at Large,37,NA,148,NA,39,NA,31,NA,24,NA,37,148,39,31,24
03,Baltimore City,003-001,07,46,Clerk Circuit Court,23,NA,88,NA,26,NA,20,NA,15,NA,23,88,26,20,15
03,Baltimore City,003-001,07,46,Comptroller,28,NA,103,NA,28,NA,24,NA,17,NA,28,103,28,24,17
03,Baltimore City,003-001,07,46,Governor / Lt. Governor,28,NA,99,NA,28,NA,21,NA,17,NA,28,99,28,21,17
03,Baltimore City,003-001,07,46,House of Delegates,65,NA,259,NA,63,NA,41,NA,47,NA,65,259,63,41,47
03,Baltimore City,003-001,07,46,Judge Circuit Court,53,NA,242,NA,54,NA,46,NA,35,NA,53,242,54,46,35
03,Baltimore City,003-001,07,46,Judge Orphans' Court,53,NA,226,NA,57,NA,38,NA,37,NA,53,226,57,38,37
03,Baltimore City,003-001,07,46,Judge Spec Appeal at Lg,43,4,115,53,30,10,26,12,14,8,47,168,40,38,22
03,Baltimore City,003-001,07,46,Register of Wills,26,NA,89,NA,25,NA,20,NA,15,NA,26,89,25,20,15
03,Baltimore City,003-001,07,46,Sheriff,23,NA,84,NA,26,NA,19,NA,15,NA,23,84,26,19,15
03,Baltimore City,003-001,07,46,State Senator,27,NA,101,NA,28,NA,20,NA,17,NA,27,101,28,20,17
03,Baltimore City,003-001,07,46,State's Attorney,26,NA,100,NA,28,NA,21,NA,14,NA,26,100,28,21,14
03,Baltimore City,003-001,07,46,U.S. Congress,27,NA,103,NA,28,NA,24,NA,17,NA,27,103,28,24,17
03,Baltimore City,003-001,07,46,U.S. Senator,27,NA,100,NA,28,NA,24,NA,17,NA,27,100,28,24,17
03,Baltimore City,003-002,07,46,Attorney General,21,NA,68,NA,23,NA,6,NA,11,NA,21,68,23,6,11
03,Baltimore City,003-002,07,46,Board of Ed at Large,32,NA,100,NA,33,NA,7,NA,14,NA,32,100,33,7,14
03,Baltimore City,003-002,07,46,Clerk Circuit Court,20,NA,59,NA,20,NA,5,NA,7,NA,20,59,20,5,7
03,Baltimore City,003-002,07,46,Comptroller,21,NA,67,NA,23,NA,6,NA,11,NA,21,67,23,6,11
03,Baltimore City,003-002,07,46,Governor / Lt. Governor,21,NA,71,NA,21,NA,7,NA,10,NA,21,71,21,7,10
03,Baltimore City,003-002,07,46,House of Delegates,50,NA,160,NA,58,NA,11,NA,25,NA,50,160,58,11,25
03,Baltimore City,003-002,07,46,Judge Circuit Court,58,NA,134,NA,53,NA,14,NA,18,NA,58,134,53,14,18
03,Baltimore City,003-002,07,46,Judge Orphans' Court,55,NA,124,NA,49,NA,8,NA,18,NA,55,124,49,8,18
03,Baltimore City,003-002,07,46,Judge Spec Appeal at Lg,34,5,81,27,27,13,8,4,12,0,39,108,40,12,12
03,Baltimore City,003-002,07,46,Register of Wills,20,NA,58,NA,20,NA,4,NA,7,NA,20,58,20,4,7
03,Baltimore City,003-002,07,46,Sheriff,19,NA,62,NA,18,NA,4,NA,8,NA,19,62,18,4,8
03,Baltimore City,003-002,07,46,State Senator,20,NA,69,NA,23,NA,5,NA,11,NA,20,69,23,5,11
03,Baltimore City,003-002,07,46,State's Attorney,20,NA,67,NA,21,NA,5,NA,9,NA,20,67,21,5,9
03,Baltimore City,003-002,07,46,U.S. Congress,21,NA,70,NA,24,NA,7,NA,13,NA,21,70,24,7,13
03,Baltimore City,003-002,07,46,U.S. Senator,21,NA,69,NA,24,NA,5,NA,13,NA,21,69,24,5,13
03,Baltimore City,003-003,07,46,Attorney General,81,NA,512,NA,196,NA,71,NA,127,NA,81,512,196,71,127
03,Baltimore City,003-003,07,46,Board of Ed at Large,88,NA,611,NA,223,NA,82,NA,157,NA,88,611,223,82,157
03,Baltimore City,003-003,07,46,Clerk Circuit Court,57,NA,395,NA,155,NA,61,NA,99,NA,57,395,155,61,99
03,Baltimore City,003-003,07,46,Comptroller,83,NA,514,NA,200,NA,71,NA,127,NA,83,514,200,71,127
03,Baltimore City,003-003,07,46,Governor / Lt. Governor,81,NA,520,NA,200,NA,72,NA,128,NA,81,520,200,72,128
03,Baltimore City,003-003,07,46,House of Delegates,202,NA,1203,NA,505,NA,176,NA,311,NA,202,1203,505,176,311
03,Baltimore City,003-003,07,46,Judge Circuit Court,176,NA,1043,NA,428,NA,127,NA,292,NA,176,1043,428,127,292
03,Baltimore City,003-003,07,46,Judge Orphans' Court,153,NA,985,NA,406,NA,147,NA,275,NA,153,985,406,147,275
03,Baltimore City,003-003,07,46,Judge Spec Appeal at Lg,98,16,587,159,246,37,78,15,143,36,114,746,283,93,179
03,Baltimore City,003-003,07,46,Register of Wills,58,NA,386,NA,159,NA,61,NA,99,NA,58,386,159,61,99
03,Baltimore City,003-003,07,46,Sheriff,60,NA,400,NA,159,NA,59,NA,109,NA,60,400,159,59,109
03,Baltimore City,003-003,07,46,State Senator,82,NA,509,NA,195,NA,69,NA,128,NA,82,509,195,69,128
03,Baltimore City,003-003,07,46,State's Attorney,73,NA,456,NA,183,NA,65,NA,119,NA,73,456,183,65,119
03,Baltimore City,003-003,07,46,U.S. Congress,82,NA,515,NA,196,NA,71,NA,126,NA,82,515,196,71,126
03,Baltimore City,003-003,07,46,U.S. Senator,81,NA,518,NA,200,NA,71,NA,127,NA,81,518,200,71,127
03,Baltimore City,004-001,07,46,Attorney General,70,NA,277,NA,102,NA,61,NA,88,NA,70,277,102,61,88
03,Baltimore City,004-001,07,46,Board of Ed at Large,101,NA,361,NA,125,NA,72,NA,122,NA,101,361,125,72,122
03,Baltimore City,004-001,07,46,Clerk Circuit Court,58,NA,244,NA,85,NA,53,NA,76,NA,58,244,85,53,76
03,Baltimore City,004-001,07,46,Comptroller,71,NA,276,NA,102,NA,61,NA,86,NA,71,276,102,61,86
03,Baltimore City,004-001,07,46,Governor / Lt. Governor,71,NA,279,NA,101,NA,62,NA,87,NA,71,279,101,62,87
03,Baltimore City,004-001,07,46,House of Delegates,173,NA,639,NA,254,NA,129,NA,237,NA,173,639,254,129,237
03,Baltimore City,004-001,07,46,Judge Circuit Court,162,NA,617,NA,247,NA,100,NA,182,NA,162,617,247,100,182
03,Baltimore City,004-001,07,46,Judge Orphans' Court,142,NA,564,NA,200,NA,132,NA,205,NA,142,564,200,132,205
03,Baltimore City,004-001,07,46,Judge Spec Appeal at Lg,80,31,337,92,115,40,60,24,85,42,111,429,155,84,127
03,Baltimore City,004-001,07,46,Register of Wills,60,NA,243,NA,80,NA,53,NA,76,NA,60,243,80,53,76
03,Baltimore City,004-001,07,46,Sheriff,57,NA,238,NA,79,NA,53,NA,72,NA,57,238,79,53,72
03,Baltimore City,004-001,07,46,State Senator,67,NA,271,NA,102,NA,52,NA,84,NA,67,271,102,52,84
03,Baltimore City,004-001,07,46,State's Attorney,65,NA,258,NA,99,NA,53,NA,86,NA,65,258,99,53,86
03,Baltimore City,004-001,07,46,U.S. Congress,71,NA,273,NA,104,NA,60,NA,86,NA,71,273,104,60,86
03,Baltimore City,004-001,07,46,U.S. Senator,70,NA,276,NA,104,NA,63,NA,88,NA,70,276,104,63,88
03,Baltimore City,004-002,07,40,Attorney General,58,NA,327,NA,104,NA,127,NA,78,NA,58,327,104,127,78
03,Baltimore City,004-002,07,40,Board of Ed at Large,96,NA,463,NA,127,NA,121,NA,104,NA,96,463,127,121,104
03,Baltimore City,004-002,07,40,Clerk Circuit Court,51,NA,283,NA,82,NA,82,NA,66,NA,51,283,82,82,66
03,Baltimore City,004-002,07,40,Comptroller,58,NA,329,NA,100,NA,127,NA,77,NA,58,329,100,127,77
