County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-001,07,46,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,106,NA,314,NA,84,NA,91,NA,76,NA,671,0,671
03,Baltimore City,001-001,07,46,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,5,NA,10,NA,3,NA,1,NA,2,NA,21,0,21
03,Baltimore City,001-001,07,46,Register of Wills,Belinda K. Conaway,DEM,Y,NA,110,NA,313,NA,85,NA,94,NA,78,NA,680,0,680
03,Baltimore City,001-001,07,46,Register of Wills,Other Write-Ins,NA,NA,Y,4,NA,9,NA,2,NA,1,NA,1,NA,17,0,17
03,Baltimore City,001-001,07,46,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,99,NA,261,NA,74,NA,71,NA,67,NA,572,0,572
03,Baltimore City,001-001,07,46,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,95,NA,245,NA,72,NA,68,NA,66,NA,546,0,546
03,Baltimore City,001-001,07,46,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,97,NA,278,NA,75,NA,71,NA,69,NA,590,0,590
03,Baltimore City,001-001,07,46,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,1,NA,9,NA,0,NA,1,NA,0,NA,11,0,11
03,Baltimore City,001-001,07,46,Sheriff,Sam Cogen,DEM,Y,NA,121,NA,327,NA,96,NA,89,NA,81,NA,714,0,714
03,Baltimore City,001-001,07,46,Sheriff,Other Write-Ins,NA,NA,Y,1,NA,7,NA,0,NA,1,NA,1,NA,10,0,10
03,Baltimore City,001-001,07,46,Board of Ed at Large,April Christina Curley,NON,NA,NA,33,NA,93,NA,37,NA,25,NA,30,NA,218,0,218
03,Baltimore City,001-001,07,46,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,80,NA,199,NA,59,NA,42,NA,44,NA,424,0,424
03,Baltimore City,001-001,07,46,Board of Ed at Large,Salimah Jasani,NON,NA,NA,53,NA,159,NA,52,NA,25,NA,47,NA,336,0,336
03,Baltimore City,001-001,07,46,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,30,NA,93,NA,17,NA,32,NA,18,NA,190,0,190
03,Baltimore City,001-001,07,46,Board of Ed at Large,Other Write-Ins,NA,NA,Y,0,NA,4,NA,1,NA,2,NA,0,NA,7,0,7
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,11,NA,61,NA,6,NA,4,NA,2,NA,84,0,84
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,118,NA,412,NA,141,NA,74,NA,96,NA,841,0,841
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,2,NA,9,NA,4,NA,1,NA,1,NA,17,0,17
