County,County Name,Precinct,Congressional,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Legislative,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to24,Voted_25to34,Voted_35to44,Voted_45to54,Voted_55to64,Voted_65plus
03,Baltimore City,009-010,07,53,432,154,46,73,1666,1293,95,43A,1163,398,11,014,230,138,1,0,15,62,71,57,78,86
03,Baltimore City,009-011,07,24,77,9,2,12,449,331,15,43A,294,51,4,014,32,21,NA,0,NA,7,14,6,16,10
03,Baltimore City,009-012,07,126,273,102,5,32,1856,1431,22,43A,974,220,13,014,132,87,NA,0,6,12,20,35,69,77
03,Baltimore City,009-013,07,48,274,94,27,20,679,527,23,45,844,178,13,012,102,57,1,0,2,14,14,19,42,69
03,Baltimore City,009-014,07,69,337,77,20,33,1724,1337,21,43A,935,223,10,012,129,84,1,0,2,15,27,31,49,90
03,Baltimore City,009-015,07,132,424,194,45,54,2455,1815,25,45,1535,349,19,012,202,121,NA,0,8,28,36,35,95,121
03,Baltimore City,010-001,07,78,353,157,39,37,1239,978,24,45,1008,274,18,012,167,85,NA,0,13,14,26,41,59,99
03,Baltimore City,010-002,07,79,293,195,58,44,1495,1119,12,45,1058,286,35,012,168,83,NA,0,3,4,24,24,47,149
03,Baltimore City,010-003,07,3,81,30,5,3,1229,937,16,46,529,55,1,012,28,21,NA,0,NA,5,11,7,16,10
03,Baltimore City,010-004,07,32,168,102,5,27,733,622,9,45,599,149,8,012,72,45,1,0,NA,8,10,11,28,61
03,Baltimore City,011-001,07,164,897,443,134,238,2215,2111,170,40,1471,773,18,012,330,333,6,0,41,231,144,74,65,114
03,Baltimore City,011-002,07,16,210,119,40,98,762,725,59,40,473,203,14,011,88,100,NA,0,8,58,34,16,30,42
03,Baltimore City,011-003,07,171,858,417,58,205,2334,2138,124,40,1409,700,35,011,352,285,6,0,30,107,116,76,117,197
03,Baltimore City,011-004,07,6,31,8,51,4,126,91,7,40,71,46,10,011,9,5,1,0,NA,3,5,4,1,2
03,Baltimore City,011-005,07,202,812,309,98,266,2260,1904,74,40,2026,711,23,011,330,285,8,0,33,204,118,91,96,81
03,Baltimore City,011-006,07,115,831,441,159,166,3478,3339,199,46,1754,740,49,011,330,295,7,0,42,154,86,51,83,216
03,Baltimore City,011-007,07,111,953,259,98,222,2028,1966,131,46,1354,664,22,012,274,311,10,0,40,241,101,68,77,68
03,Baltimore City,011-008,07,0,0,0,0,0,NA,NA,NA,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03,Baltimore City,012-001,07,252,1329,1357,126,445,4634,4218,191,43A,2579,1599,49,014,819,697,11,0,55,121,180,164,237,770
03,Baltimore City,012-002,07,42,134,71,12,50,315,252,15,43A,278,153,3,014,70,73,1,0,8,14,21,25,32,44
03,Baltimore City,012-003,07,30,448,140,12,99,1137,1034,63,43A,638,376,9,014,190,166,2,0,13,121,119,37,26,42
03,Baltimore City,012-004,07,95,509,271,71,190,4410,4227,429,43A,1367,547,18,014,275,213,3,0,42,80,75,63,76,155
03,Baltimore City,012-005,07,110,506,254,65,155,2257,2095,156,43A,1125,556,10,014,273,232,4,0,31,128,129,80,58,83
03,Baltimore City,012-006,07,44,434,141,159,132,1561,1473,148,43A,833,476,12,014,207,187,4,0,24,154,67,47,44,62
03,Baltimore City,012-007,07,134,697,160,17,126,1787,1493,129,43A,1415,579,13,012,326,241,4,0,25,175,131,77,69,94
03,Baltimore City,012-008,07,191,1386,524,152,445,2152,1954,168,43A,2922,1414,42,012,678,598,11,0,52,474,272,164,134,191
03,Baltimore City,012-009,07,16,126,40,11,43,2377,2137,170,40,210,101,2,012,50,43,1,0,3,38,30,5,9,9
03,Baltimore City,012-010,07,136,486,204,92,112,2397,2093,165,43A,1808,508,26,012,249,227,4,0,10,138,112,51,86,83
03,Baltimore City,012-011,07,36,244,86,46,34,1405,1154,54,40,627,200,8,012,81,92,1,0,7,35,24,25,49,34
03,Baltimore City,012-012,07,118,931,260,108,185,2294,2000,126,45,1753,658,21,012,333,273,9,0,23,198,168,77,77,72
03,Baltimore City,013-001,02,74,553,526,70,191,2258,2059,65,41,894,578,30,014,313,252,2,0,21,42,59,67,64,314
03,Baltimore City,013-002,02,170,1271,613,92,304,1547,1408,49,40,1651,994,39,014,509,450,5,0,26,222,209,110,140,257
03,Baltimore City,013-003,07,53,550,140,25,146,2701,2379,114,40,686,386,10,007,191,162,3,0,7,120,118,44,26,41
03,Baltimore City,013-004,02,293,1739,753,161,583,1556,1302,62,40,2617,1503,44,007,774,653,3,0,40,481,410,178,131,190
03,Baltimore City,013-005,07,92,607,316,104,234,1136,994,46,40,912,551,22,007,275,231,3,0,12,119,133,78,72,95
03,Baltimore City,013-006,07,40,245,57,22,29,858,689,12,40,589,169,3,007,90,72,NA,0,1,18,14,23,51,55
03,Baltimore City,013-007,07,138,310,152,50,16,1625,1301,27,40,1241,273,15,007,154,82,1,0,NA,24,25,30,56,102
03,Baltimore City,013-008,07,149,871,239,77,95,2221,1769,48,40,1614,599,27,007,321,226,2,0,14,60,100,91,133,151
03,Baltimore City,013-009,07,116,501,153,69,103,1582,1338,26,40,1122,414,8,007,196,180,1,0,10,62,84,59,76,86
03,Baltimore City,013-010,07,201,781,251,65,124,1926,1609,37,40,1413,616,21,007,286,274,3,0,15,65,114,103,109,157
03,Baltimore City,013-011,07,202,1963,819,177,656,2665,2387,99,40,2461,1536,31,014,754,675,8,0,41,479,452,182,128,155
03,Baltimore City,013-012,02,74,953,465,100,401,1989,1757,51,40,1236,830,33,014,427,343,2,0,17,201,203,125,102,124
03,Baltimore City,014-001,07,100,556,270,56,135,2055,1934,144,40,878,451,27,011,219,189,4,0,33,63,101,52,59,104
03,Baltimore City,014-002,07,73,452,257,36,106,1153,986,31,40,852,393,33,011,178,192,1,0,17,45,46,41,70,152
03,Baltimore City,014-003,07,46,220,67,33,23,1355,933,18,40,770,161,11,011,85,58,NA,0,3,19,22,22,28,49
03,Baltimore City,014-004,07,213,828,423,35,122,3069,2514,56,40,2212,702,23,011,378,291,2,0,24,89,123,86,135,214
03,Baltimore City,014-005,07,55,130,49,55,13,609,483,10,40,412,120,2,007,56,37,NA,0,5,5,9,16,16,42
03,Baltimore City,015-001,07,257,509,199,60,96,2047,1679,36,41,1440,463,18,006,271,158,1,0,17,24,61,70,110,148
03,Baltimore City,015-002,07,160,351,170,59,29,1337,1039,21,41,836,316,6,006,167,102,NA,0,9,29,32,47,62,90
03,Baltimore City,015-003,07,326,874,355,38,150,2875,2306,58,41,1926,666,36,006,436,218,NA,0,16,43,76,69,156,294
03,Baltimore City,015-004,07,217,348,235,25,77,1108,896,13,40,1037,356,14,006,228,114,NA,0,11,28,36,48,84,135
