County,County Name,Precinct,Congressional,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Legislative,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to24,Voted_25to34,Voted_35to44,Voted_45to54,Voted_55to64,Voted_65plus
03,Baltimore City,026-016,07,214,371,266,84,47,1744,1230,17,45,1201,402,13,002,241,118,NA,0,9,20,49,57,82,142
03,Baltimore City,026-017,07,49,183,45,19,25,1050,744,23,45,578,129,1,013,78,37,2,0,5,14,22,20,36,20
03,Baltimore City,026-018,07,193,812,159,83,57,1442,1121,20,45,1046,570,23,013,234,129,1,0,14,30,45,49,89,137
03,Baltimore City,026-019,07,183,472,216,30,49,1843,1430,26,45,1385,408,13,013,248,150,NA,0,4,23,47,67,106,151
03,Baltimore City,026-020,07,102,298,90,49,32,1067,802,22,45,747,246,12,013,118,55,NA,0,14,11,22,17,51,58
03,Baltimore City,026-021,07,93,257,112,9,68,1354,983,18,45,939,234,10,013,162,79,1,0,7,17,52,35,53,78
03,Baltimore City,026-022,07,105,283,142,64,33,1074,798,28,45,737,259,12,002,142,73,NA,0,6,18,38,33,45,75
03,Baltimore City,026-023,07,146,327,155,10,54,1734,1326,26,45,1128,297,14,002,200,89,NA,0,13,21,45,47,77,86
03,Baltimore City,026-024,07,417,550,358,12,110,3114,2490,45,45,2025,601,30,002,406,210,NA,0,12,40,73,90,172,229
03,Baltimore City,026-025,07,168,350,218,17,54,2834,2249,61,45,1555,365,17,002,211,137,1,0,22,20,36,47,105,119
03,Baltimore City,026-026,07,354,602,325,16,68,2443,1919,66,45,1726,587,18,002,356,218,1,0,27,60,91,107,143,147
03,Baltimore City,026-027,07,377,427,407,93,58,1881,1513,39,45,1327,561,29,002,327,191,NA,0,16,39,55,85,147,176
03,Baltimore City,026-028,07,312,337,370,19,48,1371,1099,26,45,1153,424,23,002,265,145,NA,0,17,40,44,65,91,153
03,Baltimore City,026-029,07,979,1158,924,50,124,5686,4412,96,45,3994,1264,40,002,782,462,2,0,45,97,160,208,295,441
03,Baltimore City,026-030,07,206,429,211,28,54,1261,1024,38,45,938,372,19,002,219,139,1,0,16,35,65,63,80,100
03,Baltimore City,026-031,07,125,329,190,13,62,1156,868,40,45,789,324,9,002,175,134,2,0,14,35,54,43,72,93
03,Baltimore City,026-032,07,266,573,293,23,66,2257,1740,26,45,1752,507,12,013,333,180,NA,0,12,41,55,94,154,157
03,Baltimore City,026-033,07,310,148,243,12,85,2047,1626,17,45,1501,306,12,013,327,144,3,0,11,32,58,68,128,177
03,Baltimore City,027-001,07,417,988,470,44,178,2911,2291,89,45,2170,882,19,003,512,340,2,0,26,75,132,183,192,246
03,Baltimore City,027-002,07,111,484,259,40,133,662,538,33,45,626,430,14,003,233,172,1,0,18,48,66,72,78,124
03,Baltimore City,027-003,07,139,620,224,40,129,NA,NA,NA,45,710,481,19,003,228,162,NA,0,11,47,68,65,91,108
03,Baltimore City,027-004,07,92,341,119,26,75,NA,NA,NA,45,579,275,14,003,146,114,NA,0,9,37,60,47,49,58
03,Baltimore City,027-005,07,384,1204,561,49,253,3105,2465,59,45,2330,1043,22,003,590,430,2,0,41,120,226,178,215,242
03,Baltimore City,027-006,07,581,1168,594,12,216,4193,3295,117,45,3006,1100,34,002,698,404,NA,0,35,106,163,222,251,325
03,Baltimore City,027-007,07,146,360,245,35,58,1880,1473,27,45,1217,366,17,002,247,128,NA,0,9,31,66,56,87,126
03,Baltimore City,027-008,07,361,1097,435,48,188,3578,2846,98,45,2421,920,37,002,534,349,1,0,26,77,149,165,218,249
03,Baltimore City,027-009,07,169,905,287,33,110,1912,1495,69,45,1456,653,13,003,376,271,NA,0,23,62,131,127,135,169
03,Baltimore City,027-010,07,95,415,126,22,62,1026,806,29,45,734,320,8,002,168,143,1,0,16,33,57,54,66,86
03,Baltimore City,027-011,07,278,1232,456,51,195,3246,2622,128,45,2414,1026,36,003,573,422,1,0,51,102,188,201,210,244
03,Baltimore City,027-012,07,101,294,91,23,68,859,714,29,45,614,259,7,003,147,106,NA,0,6,38,45,47,52,65
03,Baltimore City,027-013,07,283,910,492,65,183,4609,3540,148,45,2724,836,21,003,473,324,NA,0,33,86,124,134,209,211
03,Baltimore City,027-014,07,369,1552,466,9,323,3325,2712,104,45,2502,1149,29,003,684,462,2,0,59,150,245,209,211,274
03,Baltimore City,027-015,07,356,944,452,67,116,2993,2336,54,45,2009,792,26,003,465,288,NA,0,33,68,96,123,166,267
03,Baltimore City,027-016,07,112,495,181,83,101,985,788,18,45,717,410,13,003,197,131,1,0,7,35,66,55,59,107
03,Baltimore City,027-017,07,274,462,298,37,118,1479,1197,35,43A,1453,559,27,003,338,258,1,0,22,67,101,88,109,210
03,Baltimore City,027-018,07,269,609,361,40,211,3713,3337,153,45,1638,616,31,003,410,277,1,0,30,72,153,114,137,182
03,Baltimore City,027-019,07,198,379,279,22,79,978,768,6,45,1196,384,33,004,253,123,NA,0,12,34,43,51,92,144
03,Baltimore City,027-020,07,519,828,712,109,238,3144,2560,69,43A,2282,970,37,004,632,286,1,0,46,75,129,130,195,344
03,Baltimore City,027-021,07,428,839,453,31,111,3231,2625,43,43A,1845,771,22,004,495,250,1,0,36,65,102,118,156,269
03,Baltimore City,027-022,07,757,901,749,72,148,2960,2392,38,43A,2513,1075,40,003,693,327,NA,0,28,66,124,106,191,505
03,Baltimore City,027-023,07,187,244,139,21,47,663,541,5,43A,550,243,7,003,160,80,NA,0,9,17,29,37,48,100
03,Baltimore City,027-024,07,103,177,93,23,16,645,553,10,43A,574,163,7,003,104,55,NA,0,12,12,23,18,32,62
03,Baltimore City,027-025,07,318,390,361,21,73,1530,1252,21,43A,1232,456,16,003,301,133,1,0,9,37,46,54,84,205
03,Baltimore City,027-026,07,253,200,243,365,87,1491,1298,36,43A,794,504,23,003,216,161,NA,0,13,37,70,60,73,124
03,Baltimore City,027-027,07,503,482,409,66,80,2194,1750,12,43A,1632,647,20,004,374,178,1,0,19,46,68,70,127,223
03,Baltimore City,027-028,07,317,358,344,53,52,1557,1228,12,43A,1231,457,15,004,285,143,1,0,10,33,53,56,91,186
03,Baltimore City,027-029,07,192,229,154,12,45,1122,918,8,43A,872,265,8,004,166,94,NA,0,7,20,23,39,62,109
03,Baltimore City,027-030,07,283,486,361,8,62,1909,1543,50,43A,1381,478,25,004,304,176,NA,0,16,42,39,65,123,195
03,Baltimore City,027-031,07,482,847,508,41,85,2966,2316,52,43A,2148,821,37,004,524,258,1,0,22,57,102,88,215,299
03,Baltimore City,027-032,07,395,1134,643,72,215,3285,2732,126,43A,2393,1098,24,004,630,434,NA,0,53,111,154,185,226,335
03,Baltimore City,027-033,07,584,652,650,52,206,2840,2319,90,43A,2268,936,26,004,581,344,1,0,26,103,144,142,171,340
03,Baltimore City,027-034,07,253,786,361,49,110,1957,1540,33,43A,1767,668,23,004,393,240,2,0,24,67,95,87,153,209
03,Baltimore City,027-035,07,611,648,464,47,96,4053,3111,85,43A,2814,811,27,004,534,258,1,0,28,67,107,102,177,312
03,Baltimore City,027-036,07,99,241,129,14,50,1260,950,11,43A,920,231,10,004,149,79,1,0,9,20,32,24,50,94
03,Baltimore City,027-037,07,268,720,668,72,286,841,637,24,43A,1850,953,49,004,525,383,1,0,37,76,143,159,200,294
03,Baltimore City,027-038,02,21,31,17,40,4,2583,2321,178,43A,245,50,0,004,14,15,NA,0,4,4,NA,5,3,13
03,Baltimore City,027-039,02,83,367,122,9,70,1003,786,33,43A,456,280,12,004,147,130,NA,0,13,28,48,52,68,68
03,Baltimore City,027-040,02,290,1470,990,96,432,1920,1469,57,41,2166,1426,47,004,720,676,6,0,58,105,285,294,254,406
03,Baltimore City,027-041,02,207,707,473,37,207,2461,1892,70,43A,1198,753,17,004,405,325,1,1,28,75,149,145,127,206
03,Baltimore City,027-042,02,226,1121,814,65,248,2120,1674,51,41,1749,1046,41,005,529,494,1,0,50,74,142,172,196,390
03,Baltimore City,027-043,02,135,429,589,17,150,898,848,40,41,779,552,28,006,376,184,1,0,11,19,38,38,86,369
03,Baltimore City,027-044,02,172,854,601,72,253,1497,1181,31,41,1200,817,30,006,414,363,1,0,28,63,145,149,169,224
03,Baltimore City,027-045,02,246,1317,818,87,394,4974,4533,374,41,1736,1156,40,006,636,513,3,0,67,59,183,228,242,373
03,Baltimore City,027-046,02,130,523,433,43,153,1110,883,32,41,747,511,19,014,276,216,2,0,18,33,85,83,85,190
03,Baltimore City,027-047,02,143,798,316,54,146,1790,1549,86,41,1249,633,29,007,336,269,4,0,18,129,164,107,74,117
03,Baltimore City,027-048,07,261,594,339,40,80,1198,1039,32,41,987,537,21,006,338,198,1,0,21,63,65,58,87,243
03,Baltimore City,027-049,02,681,1707,1398,153,536,3930,3021,99,41,3039,1863,130,005,1030,788,2,0,76,148,283,332,319,662
03,Baltimore City,027-050,07,371,743,455,68,196,1417,1129,47,41,1161,748,30,005,415,315,2,0,27,82,140,154,121,208
03,Baltimore City,027-051,07,33,52,46,19,20,391,376,4,41,216,72,8,005,36,23,NA,0,2,1,3,4,9,40
03,Baltimore City,027-052,07,488,683,413,48,107,3630,2907,70,41,2465,675,26,006,467,238,1,0,21,56,89,100,149,291
03,Baltimore City,027-053,07,199,381,194,52,64,2192,1679,32,40,1470,366,19,006,231,113,NA,0,5,29,35,58,86,131
03,Baltimore City,027-054,07,76,200,101,16,1,673,521,8,40,872,162,12,006,99,50,1,0,7,10,17,14,31,71
03,Baltimore City,027-055,07,38,147,30,87,15,1070,812,11,41,369,132,0,006,58,38,NA,0,2,7,10,14,28,35
03,Baltimore City,027-056,07,118,207,102,17,43,1187,955,25,41,868,212,8,006,118,59,NA,0,5,13,18,22,32,87
03,Baltimore City,027-057,07,364,333,341,31,73,2687,2252,42,41,1885,493,32,005,313,178,NA,0,13,18,48,67,105,240
03,Baltimore City,027-058,07,80,233,83,9,34,809,644,12,41,636,198,13,006,99,51,1,0,2,10,15,21,45,58
03,Baltimore City,027-059,07,201,181,219,287,34,1180,967,35,41,912,402,37,005,159,90,1,0,15,9,21,32,71,102
03,Baltimore City,027-060,07,511,460,311,33,109,2000,1599,53,41,1523,569,39,005,346,202,5,0,19,38,51,71,123,251
03,Baltimore City,027-061,07,172,229,179,71,37,1071,834,35,41,751,304,29,005,146,110,1,0,18,17,29,31,57,105
03,Baltimore City,027-062,07,405,569,586,30,157,3059,2357,140,41,1922,773,110,005,439,304,3,0,26,80,68,74,105,393
03,Baltimore City,027-063,07,504,599,362,79,140,2616,1881,52,41,1951,728,74,005,424,270,2,0,37,60,92,95,158,254
03,Baltimore City,027-064,07,309,893,384,67,177,NA,NA,NA,41,1887,816,96,005,411,374,3,0,64,108,120,118,145,233
03,Baltimore City,027-065,07,503,958,942,50,307,NA,NA,NA,41,3058,1234,137,005,679,501,4,0,64,185,136,96,173,530
03,Baltimore City,027-066,07,447,800,701,34,220,NA,NA,NA,41,2465,1003,145,005,551,448,NA,0,57,113,131,105,154,439
03,Baltimore City,027-067,07,318,781,374,36,218,NA,NA,NA,41,2115,755,81,005,440,278,1,0,34,90,98,70,151,276
03,Baltimore City,027-069,07,17,109,26,2,52,NA,NA,NA,41,138,82,2,014,38,40,NA,0,3,7,8,17,12,31
03,Baltimore City,028-001,07,311,398,291,5,83,NA,NA,NA,41,1310,447,30,005,274,164,1,0,7,38,40,57,115,182
03,Baltimore City,028-002,07,581,519,595,31,103,NA,NA,NA,41,2025,739,35,005,510,235,NA,0,15,57,62,86,163,362
03,Baltimore City,028-003,07,101,188,89,1,35,NA,NA,NA,41,435,163,1,006,96,68,NA,0,2,13,20,22,45,62
03,Baltimore City,028-004,07,136,227,160,12,47,NA,NA,NA,41,689,241,13,005,149,80,NA,0,4,19,17,37,53,99
03,Baltimore City,028-005,07,354,478,374,62,94,NA,NA,NA,41,1618,560,32,005,355,188,1,0,22,51,52,65,112,242
03,Baltimore City,028-006,07,525,876,486,49,122,NA,NA,NA,41,2356,830,24,008,523,305,2,0,27,71,85,119,175,353
03,Baltimore City,028-007,07,260,451,234,11,80,NA,NA,NA,41,1127,429,17,008,274,145,1,0,15,25,45,69,97,169
03,Baltimore City,028-008,07,303,496,303,36,93,NA,NA,NA,41,1498,504,27,008,304,208,1,0,17,43,75,75,123,180
03,Baltimore City,028-009,07,250,648,317,71,219,NA,NA,NA,41,1922,639,22,008,361,235,2,0,13,87,92,79,137,190
03,Baltimore City,028-010,07,585,637,524,52,145,NA,NA,NA,41,1904,824,34,008,519,294,NA,0,23,78,73,112,189,338
03,Baltimore City,028-011,07,587,701,518,49,106,NA,NA,NA,41,1912,804,29,008,490,294,1,0,34,68,89,118,178,298
03,Baltimore City,028-012,07,525,496,419,23,154,NA,NA,NA,41,1427,640,15,008,361,271,4,0,12,57,114,99,156,198
03,Baltimore City,028-013,07,359,294,288,266,129,NA,NA,NA,41,1371,596,26,008,297,151,2,0,12,28,50,59,92,209
03,Baltimore City,028-014,07,125,174,83,20,25,NA,NA,NA,41,562,178,7,008,109,61,1,0,4,9,16,21,54,67
03,Baltimore City,028-015,07,336,728,407,59,141,NA,NA,NA,41,1814,723,29,008,396,295,1,0,29,100,113,100,135,215
NA,NA,012-013,NA,NA,NA,NA,NA,NA,229,220,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,013-013,NA,NA,NA,NA,NA,NA,143,125,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,020-012,NA,NA,NA,NA,NA,NA,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,021-005,NA,NA,NA,NA,NA,NA,11,10,4,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,025-018,NA,NA,NA,NA,NA,NA,532,469,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
