County,County Name,Precinct,Congressional,Legislative,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,015-023,07,40,165,355,244,22,62
03,Baltimore City,015-024,07,40,277,397,245,49,57
03,Baltimore City,015-025,07,40,106,79,88,43,22
03,Baltimore City,016-001,07,40,64,173,85,14,12
03,Baltimore City,016-002,07,40,103,285,174,11,44
03,Baltimore City,016-003,07,40,85,157,73,2,10
03,Baltimore City,016-004,07,40,47,68,48,12,2
03,Baltimore City,016-005,07,40,177,427,247,32,57
03,Baltimore City,016-006,07,40,221,373,273,70,43
03,Baltimore City,016-007,07,40,199,334,248,11,74
03,Baltimore City,016-008,07,40,124,212,121,16,34
03,Baltimore City,016-009,07,40,111,288,145,26,64
03,Baltimore City,016-010,07,40,101,221,90,6,10
03,Baltimore City,016-011,07,40,63,238,57,38,7
03,Baltimore City,016-012,07,40,187,446,172,29,39
03,Baltimore City,016-013,07,41,283,382,214,23,34
03,Baltimore City,016-014,07,41,625,770,464,93,99
03,Baltimore City,017-001,07,40,15,54,19,5,4
03,Baltimore City,017-002,07,40,215,682,442,73,126
03,Baltimore City,018-001,07,40,136,248,101,26,28
03,Baltimore City,018-002,07,40,178,502,227,27,94
03,Baltimore City,019-001,07,40,56,306,111,34,45
03,Baltimore City,019-002,07,40,121,137,164,5,103
03,Baltimore City,019-003,07,40,15,17,26,6,10
03,Baltimore City,020-001,07,40,165,389,150,46,21
03,Baltimore City,020-002,07,40,59,494,92,51,36
03,Baltimore City,020-003,07,40,138,333,251,29,41
03,Baltimore City,020-004,07,40,26,56,48,4,6
03,Baltimore City,020-005,07,40,159,277,120,30,35
03,Baltimore City,020-006,07,41,558,665,535,16,119
03,Baltimore City,020-007,07,41,376,408,303,65,74
03,Baltimore City,020-008,07,41,102,125,108,8,44
03,Baltimore City,020-009,07,40,41,151,50,11,45
03,Baltimore City,020-010,07,40,31,100,30,8,9
03,Baltimore City,020-011,07,40,14,270,70,44,13
03,Baltimore City,021-001,07,46,100,434,169,44,124
03,Baltimore City,021-002,07,40,185,764,250,57,158
03,Baltimore City,021-003,07,40,173,802,155,90,91
03,Baltimore City,021-004,07,46,28,231,55,22,30
03,Baltimore City,022-001,07,46,124,702,430,120,155
03,Baltimore City,022-002,07,46,147,1108,623,99,285
03,Baltimore City,023-001,07,46,102,908,180,211,204
03,Baltimore City,023-002,07,46,56,658,149,62,170
03,Baltimore City,023-003,07,46,128,1284,385,154,277
03,Baltimore City,024-001,07,46,72,523,188,50,135
03,Baltimore City,024-002,07,46,54,607,194,103,160
03,Baltimore City,024-003,07,46,142,1248,621,98,288
03,Baltimore City,024-004,07,46,176,1698,589,92,529
03,Baltimore City,024-005,07,46,277,2578,1283,281,702
03,Baltimore City,025-001,07,41,557,994,610,109,179
03,Baltimore City,025-002,07,41,399,454,305,39,91
03,Baltimore City,025-003,07,40,36,423,146,32,65
03,Baltimore City,025-004,07,40,96,624,288,35,80
03,Baltimore City,025-005,07,46,119,653,203,34,69
03,Baltimore City,025-006,07,46,91,290,130,16,13
03,Baltimore City,025-007,07,46,22,142,39,0,14
03,Baltimore City,025-008,07,46,169,449,162,31,45
03,Baltimore City,025-009,07,46,92,290,134,19,44
03,Baltimore City,025-010,07,46,171,365,103,23,31
03,Baltimore City,025-011,07,46,17,178,88,10,15
03,Baltimore City,025-012,07,46,58,287,103,22,11
03,Baltimore City,025-013,07,46,24,189,50,9,15
03,Baltimore City,025-014,07,46,21,211,58,12,29
03,Baltimore City,025-015,07,46,11,310,66,42,20
03,Baltimore City,025-016,07,46,18,424,129,6,43
03,Baltimore City,025-017,07,41,60,436,207,26,85
03,Baltimore City,026-001,07,46,5,122,13,1,10
03,Baltimore City,026-002,07,46,75,417,103,23,57
03,Baltimore City,026-003,07,46,78,397,157,14,52
03,Baltimore City,026-004,07,46,68,199,126,37,32
03,Baltimore City,026-005,07,46,30,230,61,13,41
03,Baltimore City,026-006,07,46,54,301,84,57,19
03,Baltimore City,026-007,07,46,164,592,177,47,135
03,Baltimore City,026-008,07,46,197,931,271,128,174
03,Baltimore City,026-009,07,46,707,1645,710,214,412
03,Baltimore City,026-010,07,46,321,891,348,99,254
03,Baltimore City,026-011,07,46,168,210,92,12,51
03,Baltimore City,026-012,07,46,19,80,50,3,2
03,Baltimore City,026-013,07,45,37,190,61,6,24
03,Baltimore City,026-014,07,45,15,195,83,18,17
03,Baltimore City,026-015,07,45,299,518,243,35,43
03,Baltimore City,026-016,07,45,214,371,266,84,47
03,Baltimore City,026-017,07,45,49,183,45,19,25
03,Baltimore City,026-018,07,45,193,812,159,83,57
03,Baltimore City,026-019,07,45,183,472,216,30,49
