Precinct,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Registered_of_Adjusted_Adults,Turnout_of_Registered,Turnout_of_Adjusted_Adults,Registered_of_Unadjusted_Adults,Turnout_of_Unadjusted_Adults
008-006,2100,593,31,Adj,2809,2878,2179,2248,2139,48,2070,2,13,0,6,54,55,2709,52,2625,4,16,0,12,92,77,93.42,28.24,26.38,96.37,27.21
008-007,1366,238,26,Adj,1806,1851,1326,1371,1282,40,1229,6,3,0,4,28,61,1705,53,1637,6,3,0,6,48,98,99.64,17.42,17.36,103.02,17.95
008-008,927,525,20,Adj,1079,1084,864,869,811,454,323,3,26,0,5,33,25,990,540,411,3,28,0,8,53,41,106.67,56.63,60.41,107.29,60.76
008-009,69,11,0,Adj,93,96,73,76,71,12,57,0,1,0,1,2,3,NA,15,72,0,1,0,2,2,4,90.79,15.94,14.47,94.52,15.07
008-010,2599,744,59,Adj,3594,3652,2807,2863,2712,56,2624,15,6,0,11,51,100,3436,69,3332,15,6,0,14,81,135,90.78,28.63,25.99,92.59,26.51
008-011,444,101,7,Adj,654,666,517,529,479,23,452,0,2,2,0,24,26,589,23,561,1,2,2,0,31,46,83.93,22.75,19.09,85.88,19.54
009-001,655,195,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.77,NA,NA,NA
009-002,929,327,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,NA,NA,NA
009-003,1314,556,13,Adj,1582,1608,1307,1333,1245,331,885,1,24,0,4,35,53,1476,360,1082,1,24,0,9,64,68,98.57,42.31,41.71,100.54,42.54
009-004,2120,1126,39,Adj,2381,2397,2048,2064,1939,531,1330,6,63,2,7,67,58,2203,599,1525,6,63,2,8,110,84,102.71,53.11,54.55,103.52,54.98
