Precinct,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Registered_of_Adjusted_Adults,Turnout_of_Registered,Turnout_of_Adjusted_Adults,Registered_of_Unadjusted_Adults,Turnout_of_Unadjusted_Adults
016-012,1381,355,17,Adj,2259,2313,1639,1693,1615,25,1581,2,3,0,4,50,28,2197,25,2157,4,4,0,7,82,34,81.57,25.71,20.97,84.26,21.66
016-013,1490,377,20,Adj,1995,2051,1481,1537,1496,17,1476,1,0,0,2,16,25,1980,23,1951,2,0,0,4,33,38,96.94,25.3,24.53,100.61,25.46
016-014,2777,826,49,Adj,3642,3691,2861,2910,2778,52,2713,5,3,0,5,87,45,3509,52,3432,10,5,2,8,111,71,95.43,29.74,28.38,97.06,28.87
017-001,180,38,1,Adj,267,268,209,210,191,12,163,3,8,3,2,13,6,237,12,206,3,11,3,2,20,11,85.71,21.11,18.1,86.12,18.18
017-002,2668,683,45,Adj,3916,3984,3035,3103,2911,247,2620,1,30,3,10,105,87,3729,271,3387,8,34,4,25,136,119,85.98,25.6,22.01,87.91,22.5
018-001,979,210,8,Adj,1707,1743,1173,1209,1151,19,1117,1,0,0,14,44,14,1662,23,1615,2,3,0,19,59,22,80.98,21.45,17.37,83.46,17.9
018-002,1687,446,10,Adj,2286,2310,1853,1877,1699,432,1162,4,74,0,27,60,118,2062,478,1476,4,74,0,30,92,156,89.88,26.44,23.76,91.04,24.07
019-001,1112,237,11,Adj,1626,1661,1260,1294,1211,51,1143,4,7,0,6,28,55,1532,53,1452,7,9,0,11,43,86,85.94,21.31,18.32,88.25,18.81
019-002,1831,232,4,Adj,3275,3332,2441,2497,2099,678,1353,15,47,1,5,99,299,2694,791,1822,15,51,3,12,159,479,73.33,12.67,9.29,75.01,9.5
019-003,189,29,0,Adj,288,294,248,254,246,36,210,0,0,0,0,2,6,283,40,243,0,0,0,0,4,7,74.41,15.34,11.42,76.21,11.69
020-001,1377,322,18,Adj,1791,1840,1393,1442,1403,27,1368,0,4,0,4,31,8,1769,28,1731,0,6,0,4,45,26,95.49,23.38,22.33,98.85,23.12
020-002,586,324,17,Adj,916,945,713,742,669,40,618,3,1,0,7,47,26,851,48,792,3,1,0,7,61,33,78.98,55.29,43.67,82.19,45.44
020-003,1554,325,27,Adj,2100,2150,1628,1677,1599,59,1523,4,5,2,6,39,39,2032,67,1939,7,6,3,10,53,65,92.67,20.91,19.38,95.45,19.96
020-004,200,53,3,Adj,236,244,183,191,188,0,188,0,0,0,0,3,0,239,0,238,1,0,0,0,3,2,104.71,26.5,27.75,109.29,28.96
020-005,939,243,6,Adj,1241,1261,932,952,873,27,834,2,6,0,4,32,47,1145,35,1091,4,7,0,8,52,64,98.63,25.88,25.53,100.75,26.07
020-006,2839,814,66,Adj,3354,3421,2636,2700,2640,30,2591,8,3,1,7,42,18,3326,43,3260,10,5,1,7,55,40,105.15,28.67,30.15,107.7,30.88
020-007,1914,518,61,Adj,2712,2759,2137,2184,2070,105,1929,6,24,0,6,57,57,2593,137,2418,6,24,0,8,75,91,87.64,27.06,23.72,89.56,24.24
020-008,630,162,5,Adj,869,889,684,704,660,78,573,2,7,0,0,25,19,820,95,716,2,7,0,0,45,24,89.49,25.71,23.01,92.11,23.68
020-009,617,133,2,Adj,1018,1034,788,803,690,351,316,3,19,0,1,40,73,873,410,430,3,25,0,5,59,102,76.84,21.56,16.56,78.3,16.88
020-010,496,75,8,Adj,902,913,666,677,604,168,410,2,24,0,0,28,45,800,179,582,7,30,0,2,40,73,73.26,15.12,11.08,74.47,11.26
020-011,1202,177,6,Adj,2126,2181,1510,1564,1393,380,975,8,19,0,11,64,107,1927,460,1419,8,27,0,13,101,153,76.85,14.73,11.32,79.6,11.72
021-001,822,344,10,Adj,1148,1149,1053,1054,958,610,177,0,161,0,10,40,56,1034,648,205,0,168,0,13,48,67,77.99,41.85,32.64,78.06,32.67
021-002,1425,590,24,Adj,1916,1925,1654,1663,1493,559,764,9,148,2,11,66,104,1706,601,923,9,154,2,17,90,129,85.69,41.4,35.48,86.15,35.67
021-003,1932,571,16,Adj,2566,2607,2030,2071,1872,629,1100,0,133,0,10,102,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.29,29.55,27.57,95.17,28.13
021-004,332,146,1,Adj,717,725,628,636,595,235,334,5,19,0,2,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,43.98,22.96,52.87,23.25
022-001,1321,647,34,Adj,2022,2026,1964,1968,1821,1284,387,1,141,0,8,64,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.12,48.98,32.88,67.26,32.94
022-002,1477,910,35,Adj,1827,1828,1627,1628,1450,1263,88,0,90,0,9,77,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.72,61.61,55.9,90.78,55.93
023-001,1379,644,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,NA,NA,NA
023-002,1171,458,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.11,NA,NA,NA
023-003,2157,961,17,Adj,2709,2714,2534,2539,2342,2078,151,5,98,1,9,84,113,2472,2183,175,5,99,1,9,108,134,84.95,44.55,37.85,85.12,37.92
024-001,664,391,6,Unadj,933,933,808,808,761,679,49,0,33,0,0,24,23,852,758,55,0,39,0,0,36,45,82.18,58.89,48.39,82.18,48.39
024-002,826,457,12,Unadj,1153,1153,1054,1054,980,886,35,0,59,0,0,29,45,1064,952,45,0,67,0,0,36,53,78.37,55.33,43.36,78.37,43.36
024-003,1683,986,20,Unadj,2066,2066,1910,1910,1782,1612,56,0,109,0,5,56,72,1910,1734,60,0,110,0,6,67,89,88.12,58.59,51.62,88.12,51.62
024-004,2422,1284,36,Adj,3080,3082,2693,2695,2447,2259,98,1,85,0,4,112,136,2749,2538,109,2,95,0,5,155,178,89.87,53.01,47.64,89.94,47.68
024-005,3724,2176,65,Adj,4888,4892,4295,4299,3975,3572,161,5,211,3,23,134,190,4447,3998,183,6,228,3,29,208,237,86.62,58.43,50.62,86.71,50.66
025-001,2738,1047,43,Adj,4053,4097,3106,3150,2953,369,2473,0,86,0,25,93,104,3813,448,3224,0,111,0,30,118,166,86.92,38.24,33.24,88.15,33.71
025-002,1893,541,21,Adj,2842,2870,2156,2183,2079,131,1916,0,21,0,11,43,61,2711,151,2507,0,42,0,11,78,81,86.72,28.58,24.78,87.8,25.09
025-003,872,360,10,Adj,2905,2918,2376,2389,2146,1526,539,6,67,0,8,98,145,2546,1727,710,10,89,1,9,154,218,36.5,41.28,15.07,36.7,15.15
025-004,2287,562,25,Adj,4275,4313,3347,3385,2810,1885,779,10,117,1,18,135,440,3451,2207,1064,13,134,1,32,206,656,67.56,24.57,16.6,68.33,16.79
025-005,1793,441,14,Adj,4983,5024,3481,3520,2116,515,1460,6,118,0,17,103,1301,2738,612,1967,6,129,0,24,156,2130,50.94,24.6,12.53,51.51,12.67
025-006,877,234,16,Adj,1439,1464,985,1010,922,43,865,3,6,0,5,34,54,1320,52,1246,3,7,0,12,61,83,86.83,26.68,23.17,89.04,23.76
025-007,400,90,3,Adj,585,603,436,453,434,55,367,6,3,0,3,12,7,570,70,484,6,4,0,6,22,11,88.3,22.5,19.87,91.74,20.64
025-008,2111,372,20,Adj,4014,4076,2683,2744,2528,120,2370,0,23,0,15,88,128,3754,137,3565,4,29,0,19,142,180,76.93,17.62,13.56,78.68,13.87
025-009,1146,247,19,Adj,1673,1709,1031,1067,1031,11,1017,0,0,1,2,26,10,1643,11,1628,1,0,1,2,40,26,107.4,21.55,23.15,111.15,23.96
025-010,1199,293,28,Adj,1833,1868,1374,1408,1309,46,1239,6,14,0,4,40,59,1714,65,1620,7,18,0,4,55,99,85.16,24.44,20.81,87.26,21.32
025-011,597,150,9,Adj,1514,1533,1074,1093,631,370,194,6,58,0,3,21,441,776,429,256,12,73,1,5,41,716,54.62,25.13,13.72,55.59,13.97
025-012,1164,230,14,Adj,2973,3002,2058,2085,1407,780,572,10,35,0,10,92,586,1828,971,786,10,44,0,17,179,995,55.83,19.76,11.03,56.56,11.18
025-013,724,123,2,Adj,1552,1576,1096,1120,825,458,339,3,21,0,4,65,230,1116,587,485,4,28,0,12,99,361,64.64,16.99,10.98,66.06,11.22
025-014,1034,144,7,Adj,2271,2304,1429,1462,1147,260,863,9,9,0,6,65,250,1765,332,1404,9,10,0,10,112,427,70.73,13.93,9.85,72.36,10.08
025-015,1059,203,12,Adj,2375,2405,1760,1789,1509,567,915,1,19,0,7,86,194,1954,675,1244,1,24,0,10,133,318,59.2,19.17,11.35,60.17,11.53
025-016,1448,285,18,Adj,2794,2823,2104,2133,1748,1111,574,9,39,0,15,113,272,2167,1328,754,11,42,4,28,215,441,67.89,19.68,13.36,68.82,13.55
025-017,1398,404,20,Adj,669,671,583,584,517,209,286,0,18,1,3,27,40,579,236,316,0,23,1,3,38,54,239.38,28.9,69.18,239.79,69.3
026-001,296,66,5,Adj,668,675,505,512,370,277,74,7,10,0,2,28,114,466,338,107,7,12,0,2,34,175,57.81,22.3,12.89,58.61,13.07
026-002,1510,296,9,Adj,3568,3603,2544,2578,1515,619,824,17,39,2,14,80,983,1999,700,1205,17,47,2,28,121,1483,58.57,19.6,11.48,59.36,11.64
026-003,1196,331,8,Adj,2839,2860,2121,2142,1230,894,292,13,26,0,5,54,858,1449,997,395,15,28,0,14,76,1335,55.84,27.68,15.45,56.39,15.61
026-004,808,220,28,Adj,2660,2672,1913,1925,999,711,215,4,61,0,8,24,902,1177,792,284,4,78,0,19,47,1448,41.97,27.23,11.43,42.24,11.5
026-005,437,161,12,Adj,1203,1210,933,940,570,387,135,1,44,0,3,23,347,652,436,157,4,48,0,7,33,525,46.49,36.84,17.13,46.84,17.26
026-006,873,246,34,Adj,1999,2004,1444,1448,776,673,74,0,24,0,5,39,633,893,745,99,1,36,0,12,62,1049,60.29,28.18,16.99,60.46,17.04
026-007,1394,481,28,Adj,2865,2873,2244,2252,1474,1125,212,6,126,1,4,71,707,1685,1277,256,6,137,1,8,99,1089,61.9,34.51,21.36,62.12,21.43
026-008,1563,720,22,Adj,1946,1947,1811,1812,1694,1408,111,4,164,0,7,46,72,1804,1491,124,5,174,0,10,52,91,86.26,46.07,39.74,86.31,39.76
026-009,2994,1570,36,Adj,3701,3705,3280,3284,2930,2664,104,15,140,1,6,111,243,3222,2908,134,17,154,1,8,155,328,91.17,52.44,47.81,91.28,47.87
026-010,1971,823,25,Adj,4727,4757,3532,3562,1858,1185,534,19,108,0,12,67,1637,2160,1312,688,21,126,0,13,105,2492,55.33,41.76,23.1,55.8,23.3
026-011,861,218,13,Adj,2638,2660,1904,1925,887,573,251,12,37,0,14,60,978,1034,653,304,16,43,0,18,90,1536,44.73,25.32,11.32,45.22,11.45
026-012,423,69,11,Adj,1179,1197,853,871,530,67,400,6,54,0,3,17,324,637,83,490,6,54,0,4,36,524,48.56,16.31,7.92,49.59,8.09
026-013,775,176,9,Adj,1795,1799,1295,1299,817,730,69,1,8,1,8,45,437,986,865,95,2,12,1,11,67,746,59.66,22.71,13.55,59.85,13.59
026-014,732,157,10,Adj,2365,2380,1651,1666,824,654,134,6,21,0,9,62,780,1043,772,208,8,37,0,18,98,1239,43.94,21.45,9.42,44.34,9.51
026-015,1551,453,12,Adj,2473,2499,1836,1862,1759,74,1646,8,24,0,7,51,52,2347,88,2191,9,45,0,14,67,85,83.3,29.21,24.33,84.48,24.67
026-016,1201,402,13,Adj,1717,1744,1204,1230,1175,26,1134,1,10,0,4,38,17,1673,33,1613,1,17,0,9,43,28,97.64,33.47,32.68,99.75,33.39
026-017,578,129,1,Adj,1038,1050,732,744,697,32,658,3,2,1,1,24,23,977,44,926,3,2,1,1,37,36,77.69,22.32,17.34,78.96,17.62
026-018,1046,570,23,Adj,1419,1442,1098,1121,1074,50,1011,7,0,0,6,27,20,1383,51,1316,7,0,0,9,31,28,93.31,54.49,50.85,95.26,51.91
026-019,1385,408,13,Adj,1814,1843,1401,1430,1371,47,1306,7,3,0,8,33,26,1762,49,1690,7,3,0,13,43,38,96.85,29.46,28.53,98.86,29.12
026-020,747,246,12,Adj,1053,1067,788,802,756,40,709,0,3,2,2,24,22,1008,45,956,0,3,2,2,32,27,93.14,32.93,30.67,94.8,31.22
026-021,939,234,10,Adj,1332,1354,961,983,935,41,878,4,7,1,4,30,18,1266,52,1198,4,7,1,4,48,40,95.52,24.92,23.8,97.71,24.35
026-022,737,259,12,Adj,1064,1074,788,798,744,49,681,5,9,0,0,26,28,1011,50,943,5,13,0,0,29,34,92.36,35.14,32.46,93.53,32.87
026-023,1128,297,14,Adj,1717,1734,1310,1326,1285,104,1171,1,1,0,8,15,26,1670,108,1552,1,1,0,8,28,36,85.07,26.33,22.4,86.11,22.67
026-024,2025,601,30,Adj,3068,3114,2446,2490,2402,140,2197,2,50,1,12,43,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.33,29.68,24.14,82.79,24.57
026-025,1555,365,17,Adj,2812,2834,2227,2249,2137,107,1963,4,60,0,3,51,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.14,23.47,16.23,69.82,16.39
026-026,1726,587,18,Adj,2403,2443,1879,1919,1790,326,1436,11,7,0,10,63,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.94,34.01,30.59,91.86,31.24
026-027,1327,561,29,Adj,1866,1881,1498,1513,1447,215,1204,3,13,1,11,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.71,42.28,37.08,88.58,37.45
026-028,1153,424,23,Adj,1355,1371,1084,1099,1024,68,940,1,8,2,5,49,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.91,36.77,38.58,106.37,39.11
026-029,3994,1264,40,Adj,5629,5686,4355,4412,4242,396,3810,7,4,1,24,74,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.53,31.65,28.65,91.71,29.02
026-030,938,372,19,Adj,1251,1261,1014,1024,967,262,692,2,6,0,5,19,38,1183,289,880,2,7,0,5,26,52,91.6,39.66,36.33,92.5,36.69
026-031,789,324,9,Adj,1151,1156,863,868,787,355,402,4,24,1,1,41,40,1013,398,576,4,33,1,1,89,54,90.9,41.06,37.33,91.43,37.54
026-032,1752,507,12,Adj,2215,2257,1699,1740,1691,103,1577,1,2,0,8,23,26,2163,110,2040,1,2,0,10,56,38,100.69,28.94,29.14,103.12,29.84
026-033,1501,306,12,Adj,2014,2047,1594,1626,1572,83,1480,5,3,0,1,37,17,1973,93,1870,5,3,0,2,45,29,92.31,20.39,18.82,94.17,19.2
027-001,2170,882,19,Adj,2891,2911,2271,2291,2129,513,1572,7,16,0,21,73,89,2674,579,2036,10,22,0,27,123,114,94.72,40.65,38.5,95.55,38.84
027-002,626,430,14,Unadj,662,662,538,538,478,348,119,1,10,0,0,27,33,576,410,155,1,10,0,0,41,45,116.36,68.69,79.93,116.36,79.93
027-003,710,481,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.75,NA,NA,NA
027-004,579,275,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA
027-005,2330,1043,22,Adj,3090,3105,2450,2465,2314,1004,1250,8,39,4,9,92,59,2895,1158,1642,20,46,4,25,127,83,94.52,44.76,42.31,95.1,42.57
027-006,3006,1100,34,Adj,4138,4193,3240,3295,3094,610,2417,8,32,0,27,84,117,3916,676,3161,11,39,0,29,123,154,91.23,36.59,33.38,92.78,33.95
027-007,1217,366,17,Adj,1862,1880,1456,1473,1408,292,1093,3,16,2,2,38,27,1782,319,1434,3,19,2,5,55,43,82.62,30.07,24.85,83.59,25.14
027-008,2421,920,37,Adj,3555,3578,2823,2846,2647,932,1647,9,30,2,27,101,98,3305,1015,2212,9,33,2,34,140,133,85.07,38,32.33,85.76,32.59
027-009,1456,653,13,Adj,1904,1912,1487,1495,1369,622,714,5,14,0,14,57,69,1720,717,956,12,18,0,17,89,103,97.39,44.85,43.68,97.92,43.91
027-010,734,320,8,Adj,1021,1026,801,806,734,445,269,1,11,3,5,43,29,930,534,370,1,16,3,6,53,43,91.07,43.6,39.7,91.64,39.95
027-011,2414,1026,36,Adj,3228,3246,2604,2622,2398,1228,1090,4,61,2,13,96,128,2916,1374,1452,4,70,2,14,121,209,92.07,42.5,39.13,92.7,39.4
027-012,614,259,7,Adj,858,859,713,714,653,388,250,0,10,0,5,32,29,758,430,309,0,14,0,5,50,51,85.99,42.18,36.27,86.12,36.33
027-013,2724,836,21,Adj,4573,4609,3505,3540,3280,698,2503,9,41,0,29,112,148,4218,803,3320,9,46,1,39,159,232,76.95,30.69,23.62,77.72,23.85
027-014,2502,1149,29,Adj,3309,3325,2696,2712,2493,1200,1258,7,19,0,9,115,104,3023,1336,1639,10,20,0,18,163,139,92.26,45.92,42.37,92.8,42.62
027-015,2009,792,26,Adj,2965,2993,2308,2336,2222,284,1898,8,22,1,9,60,54,2806,337,2419,11,22,1,16,105,82,86,39.42,33.9,87.05,34.32
027-016,717,410,13,Adj,983,985,786,788,749,324,408,4,9,1,3,21,18,923,387,516,5,9,1,5,35,27,90.99,57.18,52.03,91.22,52.16
027-017,1453,559,27,Adj,1471,1479,1189,1197,1142,331,772,4,23,1,11,20,35,1389,374,970,4,23,1,17,41,49,121.39,38.47,46.7,122.2,47.01
027-018,1638,616,31,Adj,3705,3713,3329,3337,2991,1233,985,8,750,3,12,193,153,3312,1314,1205,9,755,3,26,228,173,49.09,37.61,18.46,49.2,18.5
027-019,1196,384,33,Adj,960,978,750,768,740,46,684,0,6,1,3,22,6,937,52,874,0,6,1,4,28,13,155.73,32.11,50,159.47,51.2
027-020,2282,970,37,Adj,3126,3144,2542,2560,2434,240,2105,6,70,2,11,57,69,2989,273,2619,6,77,2,12,63,92,89.14,42.51,37.89,89.77,38.16
027-021,1845,771,22,Adj,3199,3231,2593,2625,2526,136,2321,1,47,4,17,56,43,3101,145,2879,1,47,4,25,74,56,70.29,41.79,29.37,71.15,29.73
027-022,2513,1075,40,Adj,2917,2960,2349,2392,2296,92,2178,1,15,1,9,58,38,2834,97,2710,1,15,1,10,81,45,105.06,42.78,44.94,106.98,45.76
027-023,550,243,7,Adj,656,663,534,541,525,25,489,0,5,2,4,11,5,647,25,608,0,5,2,7,11,5,101.66,44.18,44.92,103,45.51
027-024,574,163,7,Adj,639,645,547,553,524,11,505,3,0,0,5,19,10,614,13,592,3,0,0,6,19,12,103.8,28.4,29.48,104.94,29.8
027-025,1232,456,16,Adj,1516,1530,1238,1252,1200,43,1144,0,10,0,3,31,21,1458,57,1386,0,10,0,5,40,32,98.4,37.01,36.42,99.52,36.83
027-026,794,504,23,Adj,1478,1491,1285,1298,1226,238,937,0,39,0,12,36,36,1393,275,1061,0,39,0,18,50,48,61.17,63.48,38.83,61.79,39.22
027-027,1632,647,20,Adj,2179,2194,1735,1750,1692,51,1623,3,3,0,12,46,12,2105,54,2033,3,3,0,12,66,23,93.26,39.64,36.97,94.06,37.29
027-028,1231,457,15,Adj,1541,1557,1212,1228,1187,30,1140,4,6,0,7,29,12,1495,36,1442,4,6,0,7,43,19,100.24,37.12,37.21,101.57,37.71
027-029,872,265,8,Adj,1112,1122,908,918,888,30,845,1,4,0,8,22,8,1080,37,1030,1,4,0,8,23,19,94.99,30.39,28.87,96.04,29.19
027-030,1381,478,25,Adj,1896,1909,1530,1543,1453,42,1399,0,7,0,5,40,50,1780,44,1720,0,7,0,9,59,70,89.5,34.61,30.98,90.26,31.24
027-031,2148,821,37,Adj,2935,2966,2286,2316,2213,95,2070,9,27,0,12,51,52,2820,103,2664,9,27,0,17,75,71,92.75,38.22,35.45,93.96,35.91
027-032,2393,1098,24,Adj,3266,3285,2713,2732,2529,878,1544,5,91,0,11,77,126,2997,1008,1872,5,97,0,15,113,175,87.59,45.88,40.19,88.2,40.47
027-033,2268,936,26,Adj,2817,2840,2296,2319,2152,507,1596,1,36,2,10,77,90,2595,577,1962,2,39,2,13,133,112,97.8,41.27,40.36,98.78,40.77
027-034,1767,668,23,Adj,1940,1957,1523,1540,1448,99,1317,1,21,1,9,59,33,1834,114,1686,2,22,1,9,80,43,114.74,37.8,43.38,116.02,43.86
027-035,2814,811,27,Adj,4000,4053,3059,3111,2942,137,2778,2,4,0,21,84,85,3829,151,3641,8,5,0,24,116,108,90.45,28.82,26.07,91.99,26.51
027-036,920,231,10,Adj,1242,1260,932,950,910,47,846,2,1,0,14,29,11,1199,48,1129,2,3,0,17,41,20,96.84,25.11,24.32,98.71,24.79
027-037,1850,953,49,Adj,839,841,636,637,600,429,131,0,34,0,6,13,24,787,562,183,0,36,0,6,25,29,290.42,51.51,149.61,290.88,149.84
027-038,245,50,0,Adj,2578,2583,2316,2321,2039,980,623,1,428,1,6,104,178,2259,1082,729,1,434,1,12,132,192,10.56,20.41,2.15,10.58,2.16
027-039,456,280,12,Adj,1001,1003,784,786,725,639,58,2,25,0,1,28,33,901,789,77,2,31,0,2,48,54,58.02,61.4,35.62,58.16,35.71
027-040,2166,1426,47,Unadj,1920,1920,1469,1469,1364,1136,154,0,68,0,6,48,57,1744,1498,163,0,76,0,7,89,87,147.45,65.84,97.07,147.45,97.07
027-041,1198,753,17,Adj,2457,2461,1888,1892,1777,1361,333,4,64,0,15,45,70,2253,1771,381,4,75,0,22,100,108,63.32,62.85,39.8,63.45,39.88
027-042,1749,1046,41,Unadj,2120,2120,1674,1674,1584,1291,221,0,62,0,10,39,51,1963,1570,294,0,83,0,16,75,82,104.48,59.81,62.49,104.48,62.49
027-043,779,552,28,Adj,897,898,847,848,783,651,85,0,44,0,3,25,40,822,681,91,1,46,0,3,31,45,91.86,70.86,65.09,91.97,65.17
027-044,1200,817,30,Unadj,1497,1497,1181,1181,1107,1017,43,2,40,0,5,43,31,1378,1259,56,2,52,0,9,72,47,101.61,68.08,69.18,101.61,69.18
027-045,1736,1156,40,Unadj,4974,4974,4533,4533,3963,2471,340,0,1142,1,9,196,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,66.59,25.5,38.3,25.5
027-046,747,511,19,Unadj,1110,1110,883,883,802,702,56,0,42,0,2,49,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.6,68.41,57.87,84.6,57.87
027-047,1249,633,29,Adj,1785,1790,1544,1549,1402,889,297,5,204,1,6,61,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.63,50.68,40.87,80.89,41
027-048,987,537,21,Adj,1194,1198,1035,1039,967,204,714,3,46,0,0,40,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,54.41,51.68,95.36,51.88
027-049,3039,1863,130,Adj,3929,3930,3020,3021,2821,2213,427,5,141,0,35,101,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.6,61.3,61.67,100.63,61.69
027-050,1161,748,30,Adj,1414,1417,1126,1129,1039,661,337,1,29,0,11,43,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.83,64.43,66.25,103.11,66.43
027-051,216,72,8,Adj,389,391,374,376,362,98,261,0,2,0,1,10,4,376,274,NA,0,2,0,1,11,4,57.45,33.33,19.15,57.75,19.25
027-052,2465,675,26,Adj,3577,3630,2856,2907,2771,87,2640,8,15,2,19,66,70,3427,3284,NA,10,15,2,20,91,112,84.8,27.38,23.22,86.31,23.63
027-053,1470,366,19,Adj,2158,2192,1645,1679,1623,71,1542,8,1,0,1,24,32,2095,2002,NA,8,1,0,4,35,62,87.55,24.9,21.8,89.36,22.25
027-054,872,162,12,Adj,658,673,507,521,499,28,467,1,1,1,1,14,8,643,610,NA,1,1,1,2,19,11,167.37,18.58,31.09,171.99,31.95
027-055,369,132,0,Adj,1048,1070,790,812,795,13,777,2,2,0,1,6,11,1038,1018,NA,2,4,0,1,20,12,45.44,35.77,16.26,46.71,16.71
027-056,868,212,8,Adj,1151,1187,919,955,909,13,887,4,4,0,1,21,25,1128,1098,NA,4,6,0,7,27,32,90.89,24.42,22.2,94.45,23.07
027-057,1885,493,32,Adj,2654,2687,2219,2252,2157,51,2074,7,24,1,0,53,42,2560,2474,NA,7,27,1,0,72,55,83.7,26.15,21.89,84.95,22.22
027-058,636,198,13,Adj,793,809,628,644,624,15,602,2,2,0,3,8,12,772,744,NA,3,2,0,6,20,17,98.76,31.13,30.75,101.27,31.53
027-059,912,402,37,Adj,1165,1180,952,967,908,29,867,1,5,0,6,24,35,1099,1050,NA,1,5,0,6,34,47,94.31,44.08,41.57,95.8,42.23
027-060,1523,569,39,Adj,1989,2000,1588,1599,1509,250,1241,0,12,0,6,37,53,1854,1457,NA,0,18,0,10,57,89,95.25,37.36,35.58,95.91,35.83
027-061,751,304,29,Adj,1067,1071,830,834,774,141,606,0,16,0,11,25,35,978,733,NA,0,20,0,12,36,57,90.05,40.48,36.45,90.48,36.63
027-062,1922,773,110,Adj,3039,3059,2337,2357,2166,1062,1029,7,33,0,35,51,140,2796,1163,NA,7,33,0,53,59,204,81.54,40.22,32.8,82.24,33.08
027-063,1951,728,74,Adj,2614,2616,1879,1881,1777,799,905,2,39,1,31,52,52,2467,1053,NA,2,42,1,56,67,82,103.72,37.31,38.7,103.83,38.74
027-064,1887,816,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24,NA,NA,NA
027-065,3058,1234,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.35,NA,NA,NA
027-066,2465,1003,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.69,NA,NA,NA
027-067,2115,755,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,NA,NA,NA
027-069,138,82,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.42,NA,NA,NA
028-001,1310,447,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.12,NA,NA,NA
028-002,2025,739,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.49,NA,NA,NA
